name,level,level_en,province,province_id
Ba Đình,Quận,Urban District,Hà Nội,ha-noi
Hoàn Kiếm,Quận,Urban District,Hà Nội,ha-noi
Tây Hồ,Quận,Urban District,Hà Nội,ha-noi
Long Biên,Quận,Urban District,Hà Nội,ha-noi
Cầu Giấy,Quận,Urban District,Hà Nội,ha-noi
Đống Đa,Quận,Urban District,Hà Nội,ha-noi
Hai Bà Trưng,Quận,Urban District,Hà Nội,ha-noi
Hoàng Mai,Quận,Urban District,Hà Nội,ha-noi
Thanh Xuân,Quận,Urban District,Hà Nội,ha-noi
Sóc Sơn,Huyện,Rural District,Hà Nội,ha-noi
Đông Anh,Huyện,Rural District,Hà Nội,ha-noi
Gia Lâm,Huyện,Rural District,Hà Nội,ha-noi
Nam Từ Liêm,Quận,Urban District,Hà Nội,ha-noi
Thanh Trì,Huyện,Rural District,Hà Nội,ha-noi
Bắc Từ Liêm,Quận,Urban District,Hà Nội,ha-noi
Mê Linh,Huyện,Rural District,Hà Nội,ha-noi
Hà Đông,Quận,Urban District,Hà Nội,ha-noi
Sơn Tây,Thị Xã,Town,Hà Nội,ha-noi
Ba Vì,Huyện,Rural District,Hà Nội,ha-noi
Phúc Thọ,Huyện,Rural District,Hà Nội,ha-noi
Đan Phượng,Huyện,Rural District,Hà Nội,ha-noi
Hoài Đức,Huyện,Rural District,Hà Nội,ha-noi
Quốc Oai,Huyện,Rural District,Hà Nội,ha-noi
Thạch Thất,Huyện,Rural District,Hà Nội,ha-noi
Chương Mỹ,Huyện,Rural District,Hà Nội,ha-noi
Thanh Oai,Huyện,Rural District,Hà Nội,ha-noi
Thường Tín,Huyện,Rural District,Hà Nội,ha-noi
Phú Xuyên,Huyện,Rural District,Hà Nội,ha-noi
Ứng Hòa,Huyện,Rural District,Hà Nội,ha-noi
Mỹ Đức,Huyện,Rural District,Hà Nội,ha-noi
Hà Giang,Thành Phố,City,Hà Giang,ha-giang
Đồng Văn,Huyện,Rural District,Hà Giang,ha-giang
Mèo Vạc,Huyện,Rural District,Hà Giang,ha-giang
Yên Minh,Huyện,Rural District,Hà Giang,ha-giang
Quản Bạ,Huyện,Rural District,Hà Giang,ha-giang
Vị Xuyên,Huyện,Rural District,Hà Giang,ha-giang
Bắc Mê,Huyện,Rural District,Hà Giang,ha-giang
Hoàng Su Phì,Huyện,Rural District,Hà Giang,ha-giang
Xín Mần,Huyện,Rural District,Hà Giang,ha-giang
Bắc Quang,Huyện,Rural District,Hà Giang,ha-giang
Quang Bình,Huyện,Rural District,Hà Giang,ha-giang
Cao Bằng,Thành Phố,City,Cao Bằng,cao-bang
Bảo Lâm,Huyện,Rural District,Cao Bằng,cao-bang
Bảo Lạc,Huyện,Rural District,Cao Bằng,cao-bang
Thông Nông,Huyện,Rural District,Cao Bằng,cao-bang
Hà Quảng,Huyện,Rural District,Cao Bằng,cao-bang
Trà Lĩnh,Huyện,Rural District,Cao Bằng,cao-bang
Trùng Khánh,Huyện,Rural District,Cao Bằng,cao-bang
Hạ Lang,Huyện,Rural District,Cao Bằng,cao-bang
Quảng Uyên,Huyện,Rural District,Cao Bằng,cao-bang
Phục Hoà,Huyện,Rural District,Cao Bằng,cao-bang
Hoà An,Huyện,Rural District,Cao Bằng,cao-bang
Nguyên Bình,Huyện,Rural District,Cao Bằng,cao-bang
Thạch An,Huyện,Rural District,Cao Bằng,cao-bang
Thành Phố Bắc Kạn,Thành Phố,City,Bắc Kạn,bac-kan
Pác Nặm,Huyện,Rural District,Bắc Kạn,bac-kan
Ba Bể,Huyện,Rural District,Bắc Kạn,bac-kan
Ngân Sơn,Huyện,Rural District,Bắc Kạn,bac-kan
Bạch Thông,Huyện,Rural District,Bắc Kạn,bac-kan
Chợ Đồn,Huyện,Rural District,Bắc Kạn,bac-kan
Chợ Mới,Huyện,Rural District,Bắc Kạn,bac-kan
Na Rì,Huyện,Rural District,Bắc Kạn,bac-kan
Tuyên Quang,Thành Phố,City,Tuyên Quang,tuyen-quang
Lâm Bình,Huyện,Rural District,Tuyên Quang,tuyen-quang
Na Hang,Huyện,Rural District,Tuyên Quang,tuyen-quang
Chiêm Hóa,Huyện,Rural District,Tuyên Quang,tuyen-quang
Hàm Yên,Huyện,Rural District,Tuyên Quang,tuyen-quang
Yên Sơn,Huyện,Rural District,Tuyên Quang,tuyen-quang
Sơn Dương,Huyện,Rural District,Tuyên Quang,tuyen-quang
Lào Cai,Thành Phố,City,Lào Cai,lao-cai
Bát Xát,Huyện,Rural District,Lào Cai,lao-cai
Mường Khương,Huyện,Rural District,Lào Cai,lao-cai
Si Ma Cai,Huyện,Rural District,Lào Cai,lao-cai
Bắc Hà,Huyện,Rural District,Lào Cai,lao-cai
Bảo Thắng,Huyện,Rural District,Lào Cai,lao-cai
Bảo Yên,Huyện,Rural District,Lào Cai,lao-cai
Sa Pa,Huyện,Rural District,Lào Cai,lao-cai
Văn Bàn,Huyện,Rural District,Lào Cai,lao-cai
Điện Biên Phủ,Thành Phố,City,Điện Biên,dien-bien
Thị Xã Mường Lay,Thị Xã,Town,Điện Biên,dien-bien
Mường Nhé,Huyện,Rural District,Điện Biên,dien-bien
Mường Chà,Huyện,Rural District,Điện Biên,dien-bien
Tủa Chùa,Huyện,Rural District,Điện Biên,dien-bien
Tuần Giáo,Huyện,Rural District,Điện Biên,dien-bien
Điện Biên,Huyện,Rural District,Điện Biên,dien-bien
Điện Biên Đông,Huyện,Rural District,Điện Biên,dien-bien
Mường Ảng,Huyện,Rural District,Điện Biên,dien-bien
Nậm Pồ,Huyện,Rural District,Điện Biên,dien-bien
Lai Châu,Thành Phố,City,Lai Châu,lai-chau
Tam Đường,Huyện,Rural District,Lai Châu,lai-chau
Mường Tè,Huyện,Rural District,Lai Châu,lai-chau
Sìn Hồ,Huyện,Rural District,Lai Châu,lai-chau
