"rank","name","point","played","win","draw","lost","goal","goalAgainst","goalDifference"
1,"Da Nang",9,3,3,0,0,3,0,3
2,"Saigon",6,3,2,0,1,2,1,1
3,"Than Quang Ninh",6,4,2,0,2,4,3,1
4,"Binh Duong",6,3,2,0,1,4,4,0
5,"Hai Phong",6,3,2,0,1,4,4,0
6,"Hoang Anh Gia Lai",6,3,2,0,1,4,3,1
7,"Binh Dinh",4,3,1,1,1,3,3,0
8,"Song Lam Nghe An",4,4,1,1,2,3,4,-1
9,"Thanh Hoa",4,3,1,1,1,3,1,2
10,"Viettel",4,3,1,1,1,3,2,1
11,"Nam Dinh",3,3,1,0,2,5,6,-1
12,"Ho Chi Minh City",3,3,1,0,2,2,3,-1
13,"Ha Noi",3,3,1,0,2,3,5,-2
14,"Hong Linh Ha Tinh",0,3,0,0,3,1,5,-4
