"symbol","industry","market","name","sector","subsector","supersector","group","listingDate"
"AAA","Nguyên vật liệu","HOSE","Công ty Cổ phần Nhựa An Phát Xanh","Hóa chất","Nhựa, cao su & sợi","Hóa chất","HOSE","2016-11-25"
"AAM","Hàng Tiêu dùng","HOSE","Công ty Cổ Phần Thủy Sản Mê Kông","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2009-09-24"
"AAV","Tài chính","HNX ","Công ty Cổ phần Việt Tiên Sơn Địa ốc","Bất động sản","Bất động sản","Bất động sản","HNX","2018-06-25"
"ABS","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận","Bán lẻ","Phân phối hàng chuyên dụng","Bán lẻ","HOSE","2020-03-18"
"ABT","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2006-12-25"
"ACB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Á Châu","Ngân hàng","Ngân hàng","Ngân hàng","HOSE","2006-11-21"
"ACC","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2011-06-30"
"ACL","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2007-09-05"
"ACM","Nguyên vật liệu","HNX ","Công ty Cổ phần Tập đoàn Khoáng sản Á Cường","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HNX","2015-07-23"
"ADC","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Mĩ thuật và Truyền thông","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2010-12-24"
"ADS","Hàng Tiêu dùng","HOSE","Công ty Cổ phần DAMSAN","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HOSE","2016-06-29"
"AGG","Tài chính","HOSE","Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia","Bất động sản","Bất động sản","Bất động sản","HOSE","2020-01-09"
"AGM","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Xuất nhập khẩu An Giang","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HOSE","2012-12-14"
"AGR","Tài chính","HOSE","Công ty Cổ phần Chứng khoán AGRIBANK","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2009-12-10"
"ALT","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Văn hóa Tân Bình","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2006-11-22"
"AMC","Nguyên vật liệu","HNX ","Công ty Cổ phần Khoáng sản Á Châu","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HNX","2012-02-15"
"AMD","Tài chính","HOSE","Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone","Bất động sản","Bất động sản","Bất động sản","HOSE","2014-08-11"
"AME","Công nghiệp","HNX ","Công ty cổ phần Alphanam E&C","Điện tử & Thiết bị điện","Thiết bị điện","Hàng & Dịch vụ Công nghiệp","HNX","2010-06-02"
"AMV","Dược phẩm và Y tế","HNX ","Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ","Dược phẩm","Dược phẩm","Y tế","HNX","2009-12-20"
"ANV","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Nam Việt","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2007-12-07"
"APC","Dược phẩm và Y tế","HOSE","Công ty Cổ phần Chiếu xạ An Phú","Dược phẩm","Công nghệ sinh học","Y tế","HOSE","2010-02-05"
"APG","Tài chính","HOSE","Công ty Cổ phần Chứng khoán APG","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2016-11-30"
"APH","Công nghiệp","HOSE","Công ty Cổ phần Tập đoàn An Phát Holdings","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HOSE","2020-07-28"
"API","Tài chính","HNX ","Công ty Cổ phần Đầu tư Châu Á Thái Bình Dương","Bất động sản","Bất động sản","Bất động sản","HNX","2010-09-13"
"APP","Nguyên vật liệu","HNX ","Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HNX","2010-10-05"
"APS","Tài chính","HNX ","Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HNX","2010-04-19"
"ARM","Công nghiệp","HNX ","Công ty Cổ phần Xuất nhập khẩu Hàng không","Tư vấn & Hỗ trợ Kinh doanh","Nhà cung cấp thiết bị","Hàng & Dịch vụ Công nghiệp","HNX","2010-10-26"
"ART","Tài chính","HNX ","Công ty Cổ phần Chứng khoán BOS","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HNX","2017-08-02"
"ASG","Công nghiệp","HOSE","Công ty Cổ phần Tập đoàn ASG","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2020-09-24"
"ASM","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Tập đoàn Sao Mai","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2010-01-18"
"ASP","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Tập đoàn Dầu khí An Pha","Nước & Khí đốt","Phân phối xăng dầu & khí đốt","Điện, nước & xăng dầu khí đốt","HOSE","2008-02-15"
"AST","Công nghiệp","HOSE","Công ty Cổ phần Dịch vụ Hàng không Taseco","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2018-01-04"
"ATG","Nguyên vật liệu","HOSE","Công ty Cổ phần An Trường An","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HOSE","2016-08-22"
"ATS","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Suất ăn công nghiệp Atesco","Du lịch & Giải trí","Nhà hàng và quán bar","Du lịch và Giải trí","HNX","2016-03-29"
"BAX","Công nghiệp","HNX ","Công ty Cổ phần Thống Nhất","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2017-03-24"
"BBC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Bibica","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HOSE","2001-12-19"
"BBS","Công nghiệp","HNX ","Công ty Cổ phần VICEM Bao bì Bút Sơn","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2005-12-28"
"BCC","Công nghiệp","HNX ","Công ty Cổ phần Xi măng Bỉm Sơn","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2006-11-24"
"BCE","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng và Giao thông Bình Dương","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2010-06-28"
"BCF","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Thực phẩm Bích Chi","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX","2020-03-16"
"BCG","Tài chính","HOSE","Công ty Cổ phần Bamboo Capital","Dịch vụ tài chính","Tài chính đặc biệt","Dich vu tài chính","HOSE","2015-07-16"
"BCM","Tài chính","HOSE","Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP","Bất động sản","Bất động sản","Bất động sản","HOSE","2018-02-21"
"BDB","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Sách và Thiết bị Bình Định","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2010-01-29"
"BED","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2009-10-21"
"BFC","Nguyên vật liệu","HOSE","Công ty Cổ phần Phân bón Bình Điền","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2015-10-07"
"BHN","Hàng Tiêu dùng","HOSE","Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội","Bia và đồ uống","Sản xuất bia ","Thực phẩm và đồ uống","HOSE","2016-10-28"
"BIC","Tài chính","HOSE","Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam","Bảo hiểm phi nhân thọ","Bảo hiểm phi nhân thọ","Bảo hiểm","HOSE","2011-09-06"
"BID","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam","Ngân hàng","Ngân hàng","Ngân hàng","VN30","2014-01-24"
"BII","Tài chính","HNX ","Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư","Bất động sản","Bất động sản","Bất động sản","HNX","2014-09-22"
"BKC","Nguyên vật liệu","HNX ","Công ty Cổ phần Khoáng sản Bắc Kạn","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HNX","2009-08-18"
"BKG","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Đầu tư BKG Việt Nam","Hàng cá nhân","Hàng cá nhân","Hàng cá nhân & Gia dụng","HOSE","2020-12-31"
"BLF","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Thủy sản Bạc Liêu","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HNX","2008-06-02"
"BMC","Nguyên vật liệu","HOSE","Công ty Cổ phần Khoáng sản Bình Định","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HOSE","2006-12-28"
"BMI","Tài chính","HOSE","Tổng Công ty Cổ phần Bảo Minh","Bảo hiểm phi nhân thọ","Bảo hiểm phi nhân thọ","Bảo hiểm","HOSE","2008-04-21"
"BMP","Công nghiệp","HOSE","Công ty Cổ phần Nhựa Bình Minh","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2006-07-11"
"BNA","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX","2020-10-12"
"BPC","Công nghiệp","HNX ","Công ty Cổ phần Vicem Bao bì Bỉm Sơn","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2002-04-05"
"BRC","Nguyên vật liệu","HOSE","Công ty Cổ phần Cao su Bến Thành","Hóa chất","Nhựa, cao su & sợi","Hóa chất","HOSE","2011-12-13"
"BSC","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Dịch vụ Bến Thành","Bán lẻ","Phân phối hàng chuyên dụng","Bán lẻ","HNX","2011-01-05"
"BSI","Tài chính","HOSE","Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2011-07-19"
"BST","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Sách và Thiết bị Bình Thuận","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2008-12-18"
"BTP","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Nhiệt điện Bà Rịa","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2009-11-25"
"BTS","Công nghiệp","HNX ","Công ty Cổ phần Xi măng VICEM Bút Sơn","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2006-12-05"
"BTT","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Thương mại - Dịch vụ Bến Thành","Bán lẻ","Bán lẻ phức hợp","Bán lẻ","HOSE","2010-04-14"
"BTW","Tiện ích Cộng đồng","HNX ","Công ty Cổ phần Cấp nước Bến Thành","Nước & Khí đốt","Nước","Điện, nước & xăng dầu khí đốt","HNX","2010-03-04"
"BVH","Tài chính","HOSE","Tập đoàn Bảo Việt","Bảo hiểm nhân thọ","Bảo hiểm nhân thọ","Bảo hiểm","HOSE","2009-06-25"
"BVS","Tài chính","HNX ","Công ty Cổ phần Chứng khoán Bảo Việt","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HNX30","2006-12-18"
"BWE","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Nước - Môi trường Bình Dương","Nước & Khí đốt","Nước","Điện, nước & xăng dầu khí đốt","HOSE","2017-07-20"
"BXH","Công nghiệp","HNX ","Công ty Cổ phần VICEM Bao bì Hải Phòng","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2009-11-25"
"C32","Công nghiệp","HOSE","Công ty Cổ phần CIC39","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2012-11-30"
"C47","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng 47","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2011-03-30"
"C69","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng 1369","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2017-04-21"
"C92","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng và Đầu tư 492","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2007-11-19"
"CAG","Công nghiệp","HNX ","Công ty Cổ phần Cảng An Giang","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HNX","2017-12-04"
"CAN","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Đồ hộp Hạ Long","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX","2001-10-22"
"CAP","Nguyên vật liệu","HNX ","Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái","Lâm nghiệp và Giấy","Sản xuất giấy","Tài nguyên Cơ bản","HNX30","2008-01-09"
"CAV","Công nghiệp","HOSE","Công ty Cổ phần Dây cáp điện Việt Nam","Điện tử & Thiết bị điện","Hàng điện & điện tử","Hàng & Dịch vụ Công nghiệp","HOSE","2014-12-08"
"CCI","Tài chính","HOSE","Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi","Bất động sản","Bất động sản","Bất động sản","HOSE","2010-04-15"
"CCL","Tài chính","HOSE","Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long","Bất động sản","Bất động sản","Bất động sản","HOSE","2011-03-03"
"CDC","Công nghiệp","HOSE","Công ty Cổ phần Chương Dương","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2007-11-01"
"CDN","Công nghiệp","HNX ","Công ty Cổ phần Cảng Đà Nẵng","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HNX","2016-11-30"
"CEE","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng Hạ tầng CII","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2017-05-15"
"CEO","Tài chính","HNX ","Công ty Cổ phần Tập đoàn C.E.O","Bất động sản","Bất động sản","Bất động sản","HNX30","2014-09-29"
"CET","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Tech - Vina","Hàng cá nhân","Hàng cá nhân","Hàng cá nhân & Gia dụng","HNX","2017-07-28"
"CHP","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Miền Trung","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2016-09-29"
"CIA","Công nghiệp","HNX ","Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HNX","2017-11-29"
"CIG","Công nghiệp","HOSE","Công ty Cổ phần COMA 18","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2011-07-19"
"CII","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2006-05-18"
"CJC","Công nghiệp","HNX ","Công ty Cổ phần Cơ điện Miền Trung","Điện tử & Thiết bị điện","Thiết bị điện","Hàng & Dịch vụ Công nghiệp","HNX","2006-12-14"
"CKG","Công nghiệp","HOSE","Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2020-03-25"
"CKV","Công nghệ Thông tin","HNX ","Công ty Cổ phần CokyVina","Thiết bị và Phần cứng","Thiết bị viễn thông","Công nghệ Thông tin","HNX","2010-03-11"
"CLC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Cát Lợi","Thuốc lá","Thuốc lá","Hàng cá nhân & Gia dụng","HOSE","2006-11-16"
"CLG","Tài chính","HOSE","Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec","Bất động sản","Bất động sản","Bất động sản","HOSE","2010-08-09"
"CLH","Công nghiệp","HNX ","Công ty Cổ phần Xi măng La Hiên VVMI","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2016-06-07"
"CLL","Công nghiệp","HOSE","Công ty Cổ phần Cảng Cát Lái","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2014-07-08"
"CLM","Nguyên vật liệu","HNX ","Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin","Khai khoáng","Khai thác Than","Tài nguyên Cơ bản","HNX","2016-04-15"
"CLW","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Cấp nước Chợ Lớn","Nước & Khí đốt","Nước","Điện, nước & xăng dầu khí đốt","HOSE","2011-01-11"
"CMC","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Đầu tư CMC","Ô tô và phụ tùng","Sản xuất ô tô","Ô tô và phụ tùng","HNX","2006-12-11"
"CMG","Công nghệ Thông tin","HOSE","Công ty Cổ phần Tập đoàn Công nghệ CMC","Phần mềm & Dịch vụ Máy tính","Dịch vụ Máy tính","Công nghệ Thông tin","HOSE","2010-01-22"
"CMS","Công nghiệp","HNX ","Công ty Cổ phần CMVIETNAM","Tư vấn & Hỗ trợ Kinh doanh","Đào tạo & Việc làm","Hàng & Dịch vụ Công nghiệp","HNX","2010-11-29"
"CMV","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Thương nghiệp Cà Mau","Bán lẻ","Bán lẻ phức hợp","Bán lẻ","HOSE","2010-06-21"
"CMX","Hàng Tiêu dùng","HOSE","Công ty Cổ phần CAMIMEX Group","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2010-11-09"
"CNG","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần CNG Việt Nam","Nước & Khí đốt","Phân phối xăng dầu & khí đốt","Điện, nước & xăng dầu khí đốt","HOSE","2011-11-23"
"COM","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Vật tư Xăng dầu","Bán lẻ","Phân phối hàng chuyên dụng","Bán lẻ","HOSE","2006-08-07"
"CPC","Nguyên vật liệu","HNX ","Công ty Cổ phần Thuốc sát trùng Cần Thơ","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HNX","2010-01-18"
"CRC","Công nghiệp","HOSE","Công ty Cổ phần Create Capital Việt Nam","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2018-08-20"
"CRE","Tài chính","HOSE","Công ty Cổ phần Bất động sản Thế Kỷ","Bất động sản","Bất động sản","Bất động sản","HOSE","2018-09-05"
"CSC","Tài chính","HNX ","Công ty Cổ phần Tập đoàn COTANA","Bất động sản","Bất động sản","Bất động sản","HNX","2009-11-04"
"CSM","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Công nghiệp Cao su Miền Nam","Ô tô và phụ tùng","Lốp xe","Ô tô và phụ tùng","HOSE","2009-08-11"
"CSV","Nguyên vật liệu","HOSE","Công ty Cổ phần Hóa chất Cơ bản miền Nam","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2015-03-18"
"CTB","Công nghiệp","HNX ","Công ty Cổ phần Chế tạo Bơm Hải Dương","Công nghiệp nặng","Máy công nghiệp","Hàng & Dịch vụ Công nghiệp","HNX","2006-10-10"
"CTC","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Gia Lai CTC","Du lịch & Giải trí","Vận tải hành khách & Du lịch","Du lịch và Giải trí","HNX","2008-07-18"
"CTD","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng Coteccons","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2010-01-20"
"CTF","Hàng Tiêu dùng","HOSE","Công ty Cổ phần City Auto","Ô tô và phụ tùng","Sản xuất ô tô","Ô tô và phụ tùng","HOSE","2017-05-30"
"CTG","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Công thương Việt Nam","Ngân hàng","Ngân hàng","Ngân hàng","VN30","2009-07-16"
"CTI","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2010-03-19"
"CTP","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Minh Khang Capital Trading Public","Bia và đồ uống","Đồ uống & giải khát","Thực phẩm và đồ uống","HNX","2016-07-28"
