"symbol","name","industry","subsector","group","latest","start","latestDate","startDate","diffToMin","diffToMax","diff","min","minDate","median","average","max","maxDate","low","numberOfDates"
"AAA","Công ty Cổ phần Nhựa An Phát Xanh","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",14.3,13.9,"2021-02-25","2021-01-27",14.3,0.1,14.4,0,"2021-02-15",13.3,12.07,14.4,"2021-02-22",false,19
"AAM","Công ty Cổ Phần Thủy Sản Mê Kông","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",11.2,11.65,"2021-02-25","2021-01-27",11.2,0.45,11.65,0,"2021-02-15",11.1,9.86,11.65,"2021-01-27",false,18
"AAV","Công ty Cổ phần Việt Tiên Sơn Địa ốc","Tài chính","Bất động sản","HNX",13.2,13.1,"2021-02-25","2021-01-27",2.2,0.5,2.7,11,"2021-02-01",12.6,12.46,13.7,"2021-02-19",false,19
"ABS","Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận","Dịch vụ Tiêu dùng","Phân phối hàng chuyên dụng","HOSE",32.75,30,"2021-02-25","2021-01-27",32.75,0,32.75,0,"2021-02-15",30,27.32,32.75,"2021-02-25",false,19
"ABT","Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",30.6,32,"2021-02-22","2021-01-27",0.1,1.9,2,30.5,"2021-02-02",30.8,31.26,32.5,"2021-02-18",true,8
"ACB","Ngân hàng Thương mại Cổ phần Á Châu","Ngân hàng","Ngân hàng","HOSE",32.4,27.5,"2021-02-25","2021-01-27",32.4,0,32.4,0,"2021-02-15",28.2,25.86,32.4,"2021-02-25",false,19
"ACC","Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",15.5,14.1,"2021-02-25","2021-01-27",15.5,0,15.5,0,"2021-02-15",14.1,12.85,15.5,"2021-02-25",false,19
"ACL","Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",13.75,12.75,"2021-02-25","2021-01-27",13.75,0.15,13.9,0,"2021-02-15",12.35,11.35,13.9,"2021-02-19",false,19
"ACM","Công ty Cổ phần Tập đoàn Khoáng sản Á Cường","Nguyên vật liệu","Khai khoáng ","HNX",1.5,2,"2021-02-25","2021-01-27",0,0.5,0.5,1.5,"2021-02-02",1.5,1.59,2,"2021-01-27",true,19
"ADC","Công ty Cổ phần Mĩ thuật và Truyền thông","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",21.8,22.9,"2021-02-25","2021-01-28",1.1,2.3,3.4,20.7,"2021-02-03",22.3,22.45,24.1,"2021-02-19",true,14
"ADS","Công ty Cổ phần DAMSAN","Hàng Tiêu dùng","Hàng May mặc","HOSE",14.45,14,"2021-02-25","2021-01-27",14.45,0.55,15,0,"2021-02-15",13.05,11.88,15,"2021-02-24",false,19
"AGG","Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia","Tài chính","Bất động sản","HOSE",35.95,36.9,"2021-02-25","2021-01-27",35.95,0.95,36.9,0,"2021-02-15",35.7,31.86,36.9,"2021-01-27",false,19
"AGM","Công ty Cổ phần Xuất nhập khẩu An Giang","Hàng Tiêu dùng","Thực phẩm","HOSE",13,12.35,"2021-02-25","2021-01-27",13,0.15,13.15,0,"2021-02-15",12.7,11.31,13.15,"2021-02-23",false,19
