ranking,title,title_en,title_short,name,gender,gender_en,start_date,end_date,note
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Lê Duẩn,nam,male,1976-07-02,1986-07-10,
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Trường Chinh,nam,male,1986-07-14,1986-12-18,
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Nguyễn Văn Linh,nam,male,1986-12-18,1991-06-28,
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Đỗ Mười,nam,male,1991-06-28,1997-12-16,
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Lê Khả Phiêu,nam,male,1997-12-16,2001-04-22,
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Nông Đức Mạnh,nam,male,2001-04-22,2011-01-19,
1,Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng Sản,General Secretary of the Communist Party,general-secretary,Nguyễn Phú Trọng,nam,male,2011-01-19,incumbent,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Tôn Đức Thắng,nam,male,1976-07-02,1980-03-30,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Nguyễn Hữu Thọ,nam,male,1980-03-30,1981-07-04,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Trường Chinh,nam,male,1981-07-04,1987-06-18,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Võ Chí Công,nam,male,1987-06-18,1992-09-22,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Lê Đức Anh,nam,male,1992-09-23,1997-09-23,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Trần Đức Lương,nam,male,1997-09-24,2006-06-26,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Nguyễn Minh Triết,nam,male,2006-06-27,2011-07-25,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Trương Tấn Sang,nam,male,2011-07-25,2016-04-02,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Trần Đại Quang,nam,male,2016-04-02,2018-09-21,
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Đặng Thị Ngọc Thịnh,nữ,female,2018-09-21,2018-10-23,acting
2,Chủ Tịch nước Việt Nam,President of Vietnam,president,Nguyễn Phú Trọng,nam,male,2018-10-23,incumbent,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Trường Chinh,nam,male,1976-07-02,1981-07-04,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Nguyễn Hữu Thọ,nam,male,1981-07-04,1987-06-18,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Lê Quang Đạo,nam,male,1987-06-18,1992-09-23,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Nông Đức Mạnh,nam,male,1992-09-23,2001-06-27,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Nguyễn Văn An,nam,male,2001-06-27,2006-06-27,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Nguyễn Phú Trọng,nam,male,2006-06-27,2011-07-23,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Nguyễn Sinh Hùng,nam,male,2011-07-23,2016-03-31,
3,Chủ Tịch Quốc Hội,National Assembly Chair,national-assembly-chair,Nguyễn Thị Kim Ngân,nữ,female,2016-03-31,incumbent,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Phạm Văn Đồng,nam,male,1976-07-02,1987-06-18,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Phạm Hùng,nam,male,1987-06-18,1988-03-10,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Võ Văn Kiệt,nam,male,1988-03-10,1988-06-22,acting
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Đỗ Mười,nam,male,1988-06-22,1991-08-08,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Võ Văn Kiệt,nam,male,1991-08-08,1997-09-25,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Phan Văn Khải,nam,male,1997-09-25,2006-06-27,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Nguyễn Tấn Dũng,nam,male,2006-06-27,2016-04-06,
4,Thủ Tướng Chính phủ,Prime Minister,prime-minister,Nguyễn Xuân Phúc,nam,male,2016-04-06,incumbent,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Võ Nguyên Giáp,nam,male,1976,1980-02,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Văn Tiến Dũng,nam,male,1980-02,1987-02-16,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Lê Đức Anh,nam,male,1987-02-16,1991-08-10,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Đoàn Khuê,nam,male,1991-08-10,1997-12-29,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Phạm Văn Trà,nam,male,1997-12-29,2006-06-28,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Phùng Quang Thanh,nam,male,2006-06-28,2016-04-08,
5,Bộ Trưởng Bộ Quốc Phòng,Minister of National Defence,defence,Ngô Xuân Lịch,nam,male,2016-04-08,incumbent,
6,Bộ Trưởng Bộ Công An,Minister of Public Security,security,Lê Minh Hương,nam,male,1998-05-07,2002-01-28,
6,Bộ Trưởng Bộ Công An,Minister of Public Security,security,Lê Hồng Anh,nam,male,2002-01-28,2011-08-03,
6,Bộ Trưởng Bộ Công An,Minister of Public Security,security,Trần Đại Quang,nam,male,2011-08-03,2016-04-08,
6,Bộ Trưởng Bộ Công An,Minister of Public Security,security,Tô Lâm,nam,male,2016-04-08,incumbent,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Hồ Chí Minh,nam,male,1945-08-27,1946-03-02,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Nguyễn Tường Tam,nam,male,1946-03-02,1946-11,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Hồ Chí Minh,nam,male,1946-11,1947-03,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Hoàng Minh Giám,nam,male,1947-03,1954-04,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Phạm Văn Đồng,nam,male,1954-04,1961-02,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Ung Văn Khiêm,nam,male,1961-02,1963-04-30,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Xuân Thủy,nam,male,1963-04-30,1965-04,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Nguyễn Duy Trinh,nam,male,1965-04,1980-02,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Nguyễn Cơ Thạch,nam,male,1980-02,1991-07,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Nguyễn Mạnh Cầm,nam,male,1991-08,2000-02-28,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Nguyễn Dy Niên,nam,male,2000-02-28,2006-06-28,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Phạm Gia Khiêm,nam,male,2006-06-28,2011-08-03,
7,Bộ Trưởng Bộ Ngoại Giao,Minister of Foreign Affairs,foreign,Phạm Bình Minh,nam,male,2011-08-03,incumbent,
8,Bộ Trưởng Bộ Nội Vụ,Minister of Home Affairs,home,Vũ Trọng Kiên,nam,male,1979-02,1988-09,
8,Bộ Trưởng Bộ Nội Vụ,Minister of Home Affairs,home,Trần Công Tuynh,nam,male,1988-09,1989-10,acting
8,Bộ Trưởng Bộ Nội Vụ,Minister of Home Affairs,home,Phan Ngọc Tường,nam,male,1989-10,1996-12,
8,Bộ Trưởng Bộ Nội Vụ,Minister of Home Affairs,home,Đỗ Quang Trung,nam,male,1996-12,2007-06-28,
8,Bộ Trưởng Bộ Nội Vụ,Minister of Home Affairs,home,Trần Văn Tuấn,nam,male,2007-06-28,2011-08-03,
