prefix,provider,provider_id
032,Viettel,viettel
033,Viettel,viettel
034,Viettel,viettel
035,Viettel,viettel
036,Viettel,viettel
037,Viettel,viettel
038,Viettel,viettel
039,Viettel,viettel
056,Vietnamobile,vietnamobile
058,Vietnamobile,vietnamobile
059,Gmobile,gmobile
070,Mobifone,mobifone
076,Mobifone,mobifone
077,Mobifone,mobifone
078,Mobifone,mobifone
079,Mobifone,mobifone
081,Vinaphone,vinaphone
082,Vinaphone,vinaphone
083,Vinaphone,vinaphone
084,Vinaphone,vinaphone
085,Vinaphone,vinaphone
086,Viettel,viettel
088,Vinaphone,vinaphone
089,Mobifone,mobifone
090,Mobifone,mobifone
091,Vinaphone,vinaphone
092,Vietnamobile,vietnamobile
093,Mobifone,mobifone
094,Vinaphone,vinaphone
096,Viettel,viettel
097,Viettel,viettel
098,Viettel,viettel
099,Gmobile,gmobile
