"province_id","province","district_id","name","code","type","support_type"
202,"Hồ Chí Minh",3709,"Thành Phố Thủ Đức","",2,3
281,,3707,"Test district","",2,2
246,"Cao Bằng",3703,"Huyện Testing","",3,3
246,"Cao Bằng",3702,"Huyện Ly Kỳ","",1,3
275,,3701,"New District","",3,1
202,"Hồ Chí Minh",3696,"Quận không xác định","",2,1
246,"Cao Bằng",3695,"Quách Huyện","",3,3
246,"Cao Bằng",3694,"Huyện Quảng Hòa","3694",1,3
201,"Hà Nội",3450,"Quận Vật Tư HN","VT1359",1,3
202,"Hồ Chí Minh",3449,"Quận Vật Tư HCM","VT1358",1,3
202,"Hồ Chí Minh",3448,"Quận Đặc Biệt DC","02202b",1,3
203,"Đà Nẵng",3447,"Quận Đặc Biệt","0409",1,4
259,"Kon Tum",3446,"Huyện Ia H Drai","3610",3,3
250,"Hậu Giang",3445,"Huyện Long Mỹ","6403",3,3
239,"Bình Phước",3444,"Huyện Phú Riềng","4311",3,3
214,"Trà Vinh",3443,"Thị xã Duyên Hải","5809",3,3
201,"Hà Nội",3442,"Quận Đặc Biệt","1A00",1,3
236,"Hà Tĩnh",3441,"Thị xã Kỳ Anh","3013",3,3
201,"Hà Nội",3440,"Quận Nam Từ Liêm","0130",2,3
210,"Đắk Lắk",3418,"Huyện M Đrắk","4009",3,3
211,"Long An",3329,"Thị xã Kiến Tường","4915",3,3
233,"Ninh Bình",3327,"Huyện Yên Mô","2706",2,3
231,"Nam Định",3323,"Huyện Xuân Trường","2503",3,3
236,"Hà Tĩnh",3320,"Huyện Vũ Quang","3011",3,3
231,"Nam Định",3319,"Huyện Vụ Bản","2506",2,3
220,"Cần Thơ",3317,"Huyện Vĩnh Thạnh","5507",3,3
211,"Long An",3315,"Huyện Vĩnh Hưng","4902",3,3
262,"Bình Định",3312,"Huyện Vân Canh","3709",3,3
247,"Lạng Sơn",3311,"Huyện Văn Quan","1006",3,3
247,"Lạng Sơn",3310,"Huyện Văn Lãng","1004",3,3
231,"Nam Định",3308,"Huyện Trực Ninh","2508",2,3
246,"Cao Bằng",3305,"Huyện Trà Lĩnh","0605",3,3
242,"Quảng Ngãi",3304,"Huyện Trà Bồng","3504",3,3
201,"Hà Nội",3303,"Huyện Thường Tín","1B27",3,3
261,"Ninh Thuận",3302,"Huyện Thuận Nam","4507",2,3
261,"Ninh Thuận",3301,"Huyện Thuận Bắc","4506",2,3
220,"Cần Thơ",3300,"Huyện Thới Lai","5509",3,3
246,"Cao Bằng",3299,"Huyện Thông Nông","0603",3,3
234,"Thanh Hóa",3298,"Huyện Thiệu Hóa","2817",2,3
225,"Hải Dương",3294,"Huyện Thanh Miện","2107",2,3
211,"Long An",3293,"Huyện Thạnh Hóa","4905",3,3
225,"Hải Dương",3292,"Huyện Thanh Hà","2110",2,3
235,"Nghệ An",3291,"Huyện Thanh Chương","2915",3,3
229,"Phú Thọ",3290,"Huyện Thanh Ba","1504",3,3
246,"Cao Bằng",3289,"Huyện Thạch An","0610",3,3
235,"Nghệ An",3288,"Huyện Tương Dương","2908",3,3
225,"Hải Dương",3287,"Huyện Tứ Kỳ","2106",2,3
237,"Quảng Bình",3286,"Huyện Tuyên Hóa","3102",3,3
260,"Phú Yên",3284,"Huyện Tuy An","3904",3,3
226,"Thái Bình",3281,"Huyện Tiền Hải","2607",2,3
262,"Bình Định",3279,"Huyện Tây Sơn","3708",3,3
260,"Phú Yên",3278,"Huyện Tây Hòa","3909",3,3
211,"Long An",3276,"Huyện Tân Thạnh","4904",3,3
212,"Tiền Giang",3275,"Huyện Tân Phước","5309",2,3
211,"Long An",3273,"Huyện Tân Hưng","4914",3,3
229,"Phú Thọ",3272,"Huyện Tam Nông","1511",2,3
221,"Vĩnh Phúc",3271,"Huyện Tam Đảo","1609",2,3
242,"Quảng Ngãi",3270,"Huyện Sơn Tây","3513",3,3
228,"Tuyên Quang",3267,"Huyện Sơn Dương","0907",3,3
266,"Sơn La",3266,"huyện Sốp Cộp","1411",3,3
221,"Vĩnh Phúc",3265,"Huyện Sông Lô","1607",3,3
235,"Nghệ An",3261,"Huyện Quỳ Châu","2903",3,3
235,"Nghệ An",3260,"Huyện Quế Phong","2919",3,3
246,"Cao Bằng",3259,"Huyện Quảng Uyên","0609",3,3
237,"Quảng Bình",3258,"Huyện Quảng Trạch","3104",3,3
223,"Thừa Thiên - Huế",3257,"Huyện Quảng Điền","3303",2,3
201,"Hà Nội",3255,"Huyện Phú Xuyên","1B28",3,3
262,"Bình Định",3254,"Huyện Phù Mỹ","3705",3,3
220,"Cần Thơ",3250,"Huyện Phong Điền","5505",2,3
245,"Bắc Kạn",3249,"Huyện Pác Nặm","1108",3,3
233,"Ninh Bình",3247,"Huyện Nho Quan","2703",3,3
246,"Cao Bằng",3246,"Huyện Nguyên Bình","0607",3,3
231,"Nam Định",3243,"Huyện Nghĩa Hưng","2509",2,3
245,"Bắc Kạn",3242,"Huyện Ngân Sơn","1105",3,3
234,"Thanh Hóa",3241,"Huyện Nga Sơn","2823",3,3
