"province_id","name","code"
269,"Lào Cai","20"
268,"Hưng Yên","321"
267,"Hòa Bình","218"
266,"Sơn La","22"
265,"Điện Biên","230"
264,"Lai Châu","231"
263,"Yên Bái","29"
262,"Bình Định","56"
261,"Ninh Thuận","68"
260,"Phú Yên","57"
259,"Kon Tum","60"
258,"Bình Thuận","62"
253,"Bạc Liêu","781"
252,"Cà Mau","780"
250,"Hậu Giang","711"
249,"Bắc Ninh","241"
248,"Bắc Giang","240"
247,"Lạng Sơn","25"
246,"Cao Bằng","26"
245,"Bắc Kạn","281"
244,"Thái Nguyên","280"
243,"Quảng Nam","510"
242,"Quảng Ngãi","55"
241,"Đắk Nông","501"
240,"Tây Ninh","66"
239,"Bình Phước","651"
238,"Quảng Trị","53"
237,"Quảng Bình","52"
236,"Hà Tĩnh","39"
235,"Nghệ An","38"
234,"Thanh Hóa","37"
233,"Ninh Bình","30"
232,"Hà Nam","351"
231,"Nam Định","350"
230,"Quảng Ninh","33"
229,"Phú Thọ","210"
228,"Tuyên Quang","27"
227,"Hà Giang","219"
226,"Thái Bình","36"
225,"Hải Dương","320"
224,"Hải Phòng","31"
223,"Thừa Thiên - Huế","54"
221,"Vĩnh Phúc","211"
220,"Cần Thơ","710"
219,"Kiên Giang","77"
218,"Sóc Trăng","79"
217,"An Giang","76"
216,"Đồng Tháp","67"
215,"Vĩnh Long","70"
214,"Trà Vinh","74"
213,"Bến Tre","75"
212,"Tiền Giang","73"
211,"Long An","72"
210,"Đắk Lắk","500"
209,"Lâm Đồng","63"
208,"Khánh Hòa","58"
207,"Gia Lai","59"
206,"Bà Rịa - Vũng Tàu","64"
205,"Bình Dương","065"
204,"Đồng Nai","61"
203,"Đà Nẵng","511"
202,"Hồ Chí Minh","8"
201,"Hà Nội","4"
