"province","district","ward","id","code","name","address","email","latitude","longitude"
"Vĩnh Long","Thị xã Bình Minh","Xã Đông Bình",1455,"1455","Bưu Cục Bình Minh-Vĩnh Long","Đông Hậu, Đông Bình, Thị Xã Bình Minh, Vĩnh Long","",10.040518,105.835812
"Quảng Nam","Huyện Núi Thành","Thị trấn Núi Thành",1936,"1936","Bưu Cục 52 Phạm Văn Đồng-Núi Thành-Quảng Nam","52 Phạm Văn Đồng, thị trấn Núi Thành, tỉnh Quảng Nam","",15.4378358,108.6383197
"Hậu Giang","Thị xã Ngã Bảy","Phường Ngã Bảy",1454,"1454","Bưu Cục 01 Châu Văn Liêm-Ngã Bảy-Hậu Giang","Số 1 Châu Văn Liêm Phường Ngã bảy Thị xã Ngã Bảy Tỉnh Hậu Giang (Kế nhà 39)","",9.81592,105.819775
"Yên Bái","Thị xã Nghĩa Lộ","Phường Cầu Thia",1935,"1935","Bưu cục 67 Điện Biên-TX.Nghĩa Lộ-Yên Bái","Tổ 03, phường Cầu Thia, TX Nghĩa Lộ, tỉnh Yên Bái","",21.588998,104.519695
"Kon Tum","Thành phố Kon Tum","Phường Quang Trung",1955,"1955","Bưu Cục Ngọc Hồi-Kon Tum","Số 02 - Tuệ Tĩnh - P.Quang Trung -TP Kon Tum - Tỉnh Kon Tum","",14.367649,107.993544
"Tây Ninh","Huyện Tân Biên","Thị trấn Tân Biên",1959,"1959","Bưu Cục 2/9 Nguyễn Duy Trinh-Tân Biên-Tây Ninh","29 Nguyễn Duy Trinh-Tân Biên-Tây Ninh","",11.536921,106.010335
"Đồng Nai","Huyện Vĩnh Cửu","Thị trấn Vĩnh An",1447,"1447","Bưu Cục 346 Đường 767-Vĩnh Cửu-Đồng Nai","Số 9 đường hùng vương. Thị Trấn Vĩnh An. H Vĩnh Cửu, Đồng Nai (363 đường 767, KP7)","",11.0597327,107.0248664
"Vĩnh Phúc","Thành phố Vĩnh Yên","Phường Liên Bảo",1964,"1964","Bưu Cục 168 Nguyễn Tất Thành-Vĩnh Yên-Vĩnh Phúc 02","Huyện Vĩnh Tường - Vĩnh Phúc","",21.3239259,105.6053706
"Đồng Nai","Huyện Xuân Lộc","Thị trấn Gia Ray",1448,"1448","Bưu Cục 346 Trần Phú-Xuân Lộc-Đồng Nai","346 Trần Phú KP3 TT Gia Ray Huyện Xuân Lộc Tỉnh Đồng Nai","",10.9258056,107.4051462
"Thanh Hóa","Huyện Yên Định","Xã Định Bình",1449,"1449","Bưu Cục Yên Định-Thanh Hóa","Thôn Kênh Khê, xã Định Bình, H Yên Định, Tỉnh Thanh Hóa","",19.9566586,105.6617896
"Nghệ An","Huyện Yên Thành","Thị trấn Yên Thành",1901,"1901","Bưu Cục Yên Thành-Nghệ An","Khối 1, Thị Trấn Yên Thành, Huyện Yên Thành, Tỉnh Nghệ An","",18.99857,105.465263
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2119,"VTU-VinMart+-152AXoVietNgheTinh","VTU-VinMart+-152AXoVietNgheTinh","152A Xô Viết Nghệ Tĩnh, Phường Thắng Tam, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2120,"VTU-VinMart+-154-156PhamHongThai","VTU-VinMart+-154-156PhamHongThai","154, 156 Phạm Hồng Thái, Phường 7, TP Vũng Tàu( Số cũ125/11 Phạm Hồng Thái, Phường 7, TP Vũng Tàu)","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2129,"VTU-VinMart+-159TruongCongDinh","VTU-VinMart+-159TruongCongDinh","159 Trương Công Định, Phường 3, TP. Vũng Tàu, Tỉnh Bà Rịa – Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2117,"VTU-VinMart+-192-194LeLai","VTU-VinMart+-192-194LeLai","192 - 194 Lê Lai, Phường 4, Thành Phố Vũng Tàu , Tỉnh Bà Rịa – Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2115,"VTU-VinMart+-21ALeLoi","VTU-VinMart+-21ALeLoi","21A Lê Lợi, Phường 4, TP Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2107,"VTU-VinMart+-291Duong30Thang4","VTU-VinMart+-291Duong30Thang4","291 Đường 30 Tháng 4, Phường Rạch Dừa , TP.Vũng Tàu, Tỉnh Bà Rịa Vũng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2103,"VTU-VinMart+-30DoChieu","VTU-VinMart+-30DoChieu","30 Đồ Chiểu Phường 1, Thành Phố Vũng Tàu, Tỉnh Bà Rịa – Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2125,"VTU-VinMart+-329TruongCongDinh","VTU-VinMart+-329TruongCongDinh","329 Trương Công Định, Phường 3, TP Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2121,"VTU-VinMart+-32TranDong","VTU-VinMart+-32TranDong","32 Trần Đồng, Phường 3, Thành Phố Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2118,"VTU-VinMart+-410-412TruongCongDinh","VTU-VinMart+-410-412TruongCongDinh","410- 412 Trương Công Định, Phường 8 , TP. Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2116,"VTU-VinMart+-47HuyenTranCongChua","VTU-VinMart+-47HuyenTranCongChua","47 Huyền Trân Công Chúa, Phường 8, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2113,"VTU-VinMart+-602TruongCongDinh","VTU-VinMart+-602TruongCongDinh","602 Trương Công Định, Phường Nguyễn An Ninh, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2105,"VTU-VinMart+-72A-72BVoThiSau","VTU-VinMart+-72A-72BVoThiSau","72A -72B Võ Thị Sáu, Phường Thắng Tam, TP. Vũng Tàu, Tỉnh Bà Rịa – Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2112,"VTU-VinMart+-782TranPhu","VTU-VinMart+-782TranPhu","782 Trần Phú, Phường Thắng Nhì, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2114,"VTU-VinMart+-890Duong30/4","VTU-VinMart+-890Duong30/4","890 Đường 30 tháng 4, Phường 11, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2111,"VTU-VinMart+-CCChiLinh05","VTU-VinMart+-CCChiLinh05","Căn hộ PA.01.05, TM thuộc Block A CC Dic Phoenix Khu TT Chí Linh, Phường Nguyễn An Ninh, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2110,"VTU-VinMart+-CCChiLinh08","VTU-VinMart+-CCChiLinh08","Căn hộ PB.01.08, TM thuộc Block A CC Dic Phoenix Khu TT Chí Linh, Phường Nguyễn An Ninh, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1927,"NewStation","Warehouse đại diện New Station","Warehouse đại diện New Station","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2353,"abc1","123","83 Huỳnh Thúc Kháng, Phước Mỹ, Phan Rang-Tháp Chàm, Ninh Thuận, Vietnam","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2304,"KV1 Bưu cục 970 Hùng Vương - Chư Sê","KV1 Bưu cục 970 Hùng Vương - Chư Sê","","",0,0
