province_id,name,capital,level,level_en,macro_region,macro_region_en,region,region_en
an-giang,An Giang,Long Xuyên,tỉnh,province,nam bộ,southern,đồng bằng sông cửu long,mekong delta
ba-ria-vung-tau,Bà Rịa-Vũng Tàu,Bà Rịa,tỉnh,province,nam bộ,southern,đông nam bộ,southeast
binh-duong,Bình Dương,Thủ Dầu Một,tỉnh,province,nam bộ,southern,đông nam bộ,southeast
binh-phuoc,Bình Phước,Đồng Xoài,tỉnh,province,nam bộ,southern,đông nam bộ,southeast
binh-thuan,Bình Thuận,Phan Thiết,tỉnh,province,trung bộ,central,duyên hải nam trung bộ,south central coast
binh-dinh,Bình Định,Qui Nhơn,tỉnh,province,trung bộ,central,duyên hải nam trung bộ,south central coast
bac-lieu,Bạc Liêu,Bạc Liêu,tỉnh,province,nam bộ,southern,đồng bằng sông cửu long,mekong delta
bac-giang,Bắc Giang,Bắc Giang,tỉnh,province,bắc bộ,northern,đông bắc bộ,northeast
bac-kan,Bắc Kạn,Bắc Kạn,tỉnh,province,bắc bộ,northern,đông bắc bộ,northeast
bac-ninh,Bắc Ninh,Bắc Ninh,tỉnh,province,bắc bộ,northern,đồng bằng sông hồng,red river delta
ben-tre,Bến Tre,Bến Tre,tỉnh,province,nam bộ,southern,đồng bằng sông cửu long,mekong delta
cao-bang,Cao Bằng,Cao Bằng,tỉnh,province,bắc bộ,northern,đông bắc bộ,northeast
ca-mau,Cà Mau,Cà Mau,tỉnh,province,nam bộ,southern,đồng bằng sông cửu long,mekong delta
can-tho,Cần Thơ,Quận Ninh Kiều,thành phố trực thuộc trung ương,municipality,nam bộ,southern,đồng bằng sông cửu long,mekong delta
gia-lai,Gia Lai,Pleiku,tỉnh,province,trung bộ,central,tây nguyên,central highlands
ha-giang,Hà Giang,Hà Giang,tỉnh,province,bắc bộ,northern,đông bắc bộ,northeast
ha-nam,Hà Nam,Phủ Lý,tỉnh,province,bắc bộ,northern,đồng bằng sông hồng,red river delta
ha-noi,Hà Nội,Quận Hoàn Kiếm,thành phố trực thuộc trung ương,municipality,bắc bộ,northern,đồng bằng sông hồng,red river delta
ha-tinh,Hà Tĩnh,Hà Tĩnh,tỉnh,province,trung bộ,central,bắc trung bộ,north central coast
hoa-binh,Hòa Bình,Hòa Bình,tỉnh,province,bắc bộ,northern,tây bắc bộ,northwest
hung-yen,Hưng Yên,Hưng Yên,tỉnh,province,bắc bộ,northern,đồng bằng sông hồng,red river delta
