sport,sport_en,competition,city,name
bóng rổ,basketball,Vietnam Basketball Association (VBA),Cần Thơ,Cần Thơ Catfish
bóng rổ,basketball,Vietnam Basketball Association (VBA),Đà Nẵng,Đà Nẵng Dragon
bóng rổ,basketball,Vietnam Basketball Association (VBA),Hà Nội,Hà Nội Buffaloes
bóng rổ,basketball,Vietnam Basketball Association (VBA),Hồ Chí Minh,Hồ Chí Minh City Wings
bóng rổ,basketball,Vietnam Basketball Association (VBA),Hồ Chí Minh,Sài Gòn Heats
bóng rổ,basketball,Vietnam Basketball Association (VBA),Hà Nội,Thăng Long Warriors
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Cao Bằng,Cao Bằng FC
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Hồ Chí Minh,Kardiachain Sài Gòn FC
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Quảng Nam,Quảng Nam FC
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Hồ Chí Minh,Sahako FC
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Khánh Hoà,Sanna Khánh Hòa
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Khánh Hoà,Sanvinest Sanatech Khánh Hòa
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Hà Nội,Thái Sơn Bắc
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Hồ Chí Minh,Thái Sơn Nam
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Hồ Chí Minh,Tân Hiệp Hưng
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Hà Nội,VietFootball FC
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Đà Nẵng,Đà Nẵng FC
bóng đá trong nhà,futsal,Vietnam Futsal League (VFL),Đắk Lắk,Hưng Gia Khang Đắk Lắk FC
bóng đá,football,V.League 1,Bình Dương,Becamex Bình Dương
bóng đá,football,V.League 1,Hà Nội,Hà Nội FC
bóng đá,football,V.League 1,Hải Phòng,Hải Phòng FC
bóng đá,football,V.League 1,Gia Lai,Hoàng Anh Gia Lai
bóng đá,football,V.League 1,Nam Định,Dược Nam Hà Nam Định
bóng đá,football,V.League 1,Quảng Nam,Quảng Nam FC
bóng đá,football,V.League 1,Hồ Chí Minh,Sài Gòn FC
bóng đá,football,V.League 1,Hà Tĩnh,Hồng Lĩnh Hà Tĩnh
bóng đá,football,V.League 1,Đà Nẵng,SHB Đà Nẵng
bóng đá,football,V.League 1,Nghệ An,Sông Lam Nghệ An
bóng đá,football,V.League 1,Quảng Ninh,Than Quảng Ninh
bóng đá,football,V.League 1,Thanh Hoá,Thanh Hóa FC
bóng đá,football,V.League 1,Hồ Chí Minh,TP. Hồ Chí Minh FC
bóng đá,football,V.League 1,Hà Nội,Viettel FC
bóng đá,football,V.League 2,Bình Phước,Bình Phước FC
bóng đá,football,V.League 2,Đắk Lắk,Đắk Lắk
bóng đá,football,V.League 2,Huế,FC Huế
bóng đá,football,V.League 2,Tây Ninh,Xi măng Fico Tây Ninh FC
bóng đá,football,V.League 2,Hưng Yên,Phố Hiến FC
bóng đá,football,V.League 2,Long An,Long An FC
bóng đá,football,V.League 2,Bình Định,Bình Định FC
bóng đá,football,V.League 2,An Giang,An Giang FC
bóng đá,football,V.League 2,Khánh Hoà,Sanna Khánh Hòa BVN
bóng đá,football,V.League 2,Đồng Tháp,Đồng Tháp FC
bóng đá,football,V.League 2,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu FC
bóng đá,football,V.League 2,Cần Thơ,XSKT Cần Thơ FC
bóng đá,football,Hạng Nhì,Hồ Chí Minh,Gia Định FC
bóng đá,football,Hạng Nhì,Lâm Đồng,Lâm Đồng FC
bóng đá,football,Hạng Nhì,Hà Nội,Phù Đổng FC
bóng đá,football,Hạng Nhì,Khánh Hoà,Fishan Khánh Hoà FC
bóng đá,football,Hạng Nhì,Tiền Giang,Tiền Giang FC
bóng đá,football,Hạng Nhì,Kom Tum,Kon Tum FC
bóng đá,football,Hạng Nhì,Hà Nội,Công An Nhân Dân FC
bóng đá,football,Hạng Nhì,Vĩnh Long,Vĩnh Long FC
bóng đá,football,Hạng Nhì,Bình Thuân,Bình Thuận FC
bóng đá,football,Hạng Nhì,Hà Nội,Hà Nội B
bóng đá,football,Hạng Nhì,Nam Định,Nam Định B
bóng đá,football,Hạng Nhì,Đồng Nai,Đồng Nai FC
bóng đá,football,Hạng Nhì,Hà Nội,PVF
bóng đá,football,Hạng Nhì,Hồ Chí Minh,Trẻ TP. Hồ Chí Minh
bóng đá,football,Hạng Nhì,Phú Thọ,Tuấn Tú Phú Thọ FC
bóng đá,football,Hạng Nhì,Đà Nẵng,Đà Nẵng B
bóng đá,football,Hạng Ba,Hà Nội,Hà Nội Sun FC
bóng đá,football,Hạng Ba,Long An,Long An B
bóng đá,football,Hạng Ba,Quảng Ninh,Luxury Hạ Long FC
bóng đá,football,Hạng Ba,Hà Nội,Trẻ Viettel
bóng đá,football,Hạng Ba,Vĩnh Phúc,Đào Hà Vĩnh Phúc FC
bóng đá,football,Hạng Ba,Bến Tre,Bến Tre FC
