"language","color","extensions"
"1C Enterprise","#814CCC",".bsl,.os"
"ABAP","#E8274B",".abap"
"ABAP CDS","#555e25",".asddls"
"AGS Script","#B9D9FF",".asc,.ash"
"AL","#3AA2B5",".al"
"AMPL","#E6EFBB",".ampl,.mod"
"ANTLR","#9DC3FF",".g4"
"APL","#5A8164",".apl,.dyalog"
"ASP.NET","#9400ff",".asax,.ascx,.ashx,.asmx,.aspx,.axd"
"ATS","#1ac620",".dats,.hats,.sats"
"ActionScript","#882B0F",".as"
"Ada","#02f88c",".adb,.ada,.ads"
"Agda","#315665",".agda"
"Alloy","#64C800",".als"
"AngelScript","#C7D7DC",".as,.angelscript"
"Apex","#1797c0",".cls"
"Apollo Guidance Computer","#0B3D91",".agc"
"AppleScript","#101F1F",".applescript,.scpt"
"Arc","#aa2afe",".arc"
"AspectJ","#a957b0",".aj"
"Assembly","#6E4C13",".asm,.a51,.i,.inc,.nasm"
"Asymptote","#ff0000",".asy"
"AutoHotkey","#6594b9",".ahk,.ahkl"
"AutoIt","#1C3552",".au3"
"Ballerina","#FF5000",".bal"
"Batchfile","#C1F12E",".bat,.cmd"
"Beef","#a52f4e",".bf"
"Bison","#6A463F",".bison"
"BlitzMax","#cd6400",".bmx"
"Boo","#d4bec1",".boo"
"Boogie","#c80fa0",".bpl"
"Brainfuck","#2F2530",".b,.bf"
"C","#555555",".c,.cats,.h,.idc"
"C#","#178600",".cs,.cake,.csx,.linq"
"C++","#f34b7d",".cpp,.c++,.cc,.cp,.cxx,.h,.h++,.hh,.hpp,.hxx,.inc,.inl,.ino,.ipp,.re,.tcc,.tpp"
"Ceylon","#dfa535",".ceylon"
"Chapel","#8dc63f",".chpl"
"Cirru","#ccccff",".cirru"
"Clarion","#db901e",".clw"
"Classic ASP","#6a40fd",".asp"
"Clean","#3F85AF",".icl,.dcl"
"Click","#E4E6F3",".click"
"Clojure","#db5855",".clj,.boot,.cl2,.cljc,.cljs,.cljs.hl,.cljscm,.cljx,.hic"
"CoffeeScript","#244776",".coffee,._coffee,.cake,.cjsx,.iced"
"ColdFusion","#ed2cd6",".cfm,.cfml"
"ColdFusion CFC","#ed2cd6",".cfc"
"Common Lisp","#3fb68b",".lisp,.asd,.cl,.l,.lsp,.ny,.podsl,.sexp"
"Common Workflow Language","#B5314C",".cwl"
"Component Pascal","#B0CE4E",".cp,.cps"
"Crystal","#000100",".cr"
"Cuda","#3A4E3A",".cu,.cuh"
"D","#ba595e",".d,.di"
"DM","#447265",".dm"
"Dafny","#FFEC25",".dfy"
"Dart","#00B4AB",".dart"
