"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid"
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","L.","Ackerman",,"1942-11-19","M","D",,"repgaryackerman",,"RepAckerman","400003","1002061",,"15080",,"/m/03rhdq","","",,,false,,,,"8",,,,"2016-06-14 16:25:53 -0400","ocd-division/country:us/state:ny/cd:7",,,,"NY","7",false,"3607"
"A000069","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","K.","Akaka",,"1924-09-11","M","D",,"SenatorAkaka",,"senatorakaka","300001","8704",,"14400",,"/m/01rbrq","","",,,false,,,,"14",,,,"2016-06-14 16:25:53 -0400","ocd-division/country:us/state:hi/cd:2",,,,"HI","2",false,"1502"
"A000103","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000103.json","William","Vollie","Alexander",,"1934-01-16","M","D",,,,,"400761",,,"12000",,,"","",,,false,,,,"22",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ar/cd:1",,,,"AR","1",false,"0501"
"A000189","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000189.json","Glenn","Malcolm","Anderson",,"1913-02-21",,"D",,,,,"400844",,,"12001",,,"","",,,false,,,,"22",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ca/cd:32",,,,"CA","32",false,"0632"
"A000209","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000209.json","Michael",,"Andrews",,"1944-02-07","M","D",,,,,"400882",,,"15000",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:tx/cd:25",,,,"TX","25",false,"4825"
"A000212","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000212.json","Frank",,"Annunzio",,"1915-01-12","M","D",,,,,"400895",,,"10703",,,"","",,,false,,,,"26",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:il/cd:11",,,,"IL","11",false,"1711"
"A000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000213.json","Beryl","Franklin","Anthony",,"1938-02-21",,"D",,,,,"400898",,,"14601",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ar/cd:4",,,,"AR","4",false,"0504"
"A000214","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000214.json","Douglas",,"Applegate",,"1928-03-27","M","D",,,,,"400906",,,"14402",,,"","",,,false,,,,"14",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:oh/cd:18",,,,"OH","18",false,"3918"
"A000215","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000215.json","Bill",,"Archer",,"1928-03-22","M","R",,,,,"400567",,,"13002",,,"","",,,false,,,,"20",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:tx/cd:7",,,,"TX","7",false,"4807"
"A000217","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000217.json","Richard","K.","Armey",,"1940-07-07","M","R",,,,,"400551",,,"15200",,,"","",,,false,,,,"6",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:tx/cd:26",,,,"TX","26",false,"4826"
"A000224","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000224.json","Leslie",,"Aspin",,"1938-07-21","M","D",,,,,"400967",,,"13003",,,"","",,,false,,,,"20",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:wi/cd:1",,,,"WI","1",false,"5501"
"A000226","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000226.json","Chester","Greenough","Atkins",,"1948-04-14","M","D",,,,,"400975",,,"15201",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ma/cd:5",,,,"MA","5",false,"2505"
"A000337","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000337.json","Les",,"AuCoin",,"1942-10-21",,"D",,,,,"400987",,,"14201",,,"","",,,false,,,,"16",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:or/cd:1",,,,"OR","1",false,"4101"
