"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil",,"Abercrombie",,"1938-06-26","M","D",,"neilabercrombie",,"hawaiirep1","400001",,,"15244",,"/m/0255rj","","",,,false,,,,"10",1187,15,3,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:hi/cd:1",,,,"HI","1",false,"1501",1.26,88.67,11.86
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","L.","Ackerman",,"1942-11-19","M","D",,"repgaryackerman",,"RepAckerman","400003","1002061",,"15080",,"/m/03rhdq","","",,,false,,,,"16",1187,105,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ny/cd:5",,,,"NY","5",false,"3605",8.85,95.38,5.1
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt",,"1965-07-22","M","R",,"Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",,false,,,,"2",1187,4,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:al/cd:4",,,,"AL","4",false,"0104",0.34,93.9,6.62
"A000357","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000357.json","Thomas","H.","Allen",,"1945-04-16","M","D",,,,,"400007",,,"29728",,,"","",,,false,,,,"2",1187,17,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:me/cd:1",,,,"ME","1",false,"2301",1.43,94.11,6.33
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","E.","Andrews",,"1957-08-04","M","D",,"RepAndrews",,,"400008","19670",,"29132",,,"","http://andrews.house.gov/",,,false,,,,"10",1187,95,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:nj/cd:1",,,,"NJ","1",false,"3401",8,88.4,12.18
"A000215","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000215.json","Bill",,"Archer",,"1928-03-22","M","R",,,,,"400567",,,"13002",,,"","",,,false,,,,"28",1187,54,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:7",,,,"TX","7",false,"4807",4.55,95.07,5.11
"A000217","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000217.json","Richard","K.","Armey",,"1940-07-07","M","R",,,,,"400551",,,"15200",,,"","",,,false,,,,"14",1187,35,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:26",,,,"TX","26",false,"4826",2.95,94.72,5.82
"B000013","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000013.json","Spencer",,"Bachus",,"1947-12-28","M","R",,"BachusAL06","SpencerBachus","congressmanbachus","400010","26397",,"29301",,"/m/024p0v","","http://bachus.house.gov",,,false,,,,"6",1187,11,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:al/cd:6",,,,"AL","6",false,"0106",0.93,92.99,7.54
"B000028","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000028.json","Scotty",,"Baesler",,"1941-07-09","M","D",,,,,"401033",,,"29353",,,"","",,,false,,,,"6",1187,38,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ky/cd:6",,,,"KY","6",false,"2106",3.2,80.51,20.04
"B000072","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000072.json","Richard","Hugh","Baker",,"1948-05-22","M","R",,,,,"400012",,,"15400",,,"","",,,false,,,,"12",1187,65,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:la/cd:6",,,,"LA","6",false,"2206",5.48,96.79,3.76
"B000081","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000081.json","John",,"Baldacci",,"1955-01-30","M","D",,,,,"400525",,,"29528",,,"","",,,false,,,,"4",1187,9,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:me/cd:2",,,,"ME","2",false,"2302",0.76,93.27,7.17
"B000104","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000104.json","Cass",,"Ballenger",,"1926-12-06","M","R",,,,,"400015",,,"15401",,,"","",,,false,,,,"14",1187,52,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:nc/cd:10",,,,"NC","10",false,"3710",4.38,94.75,5.79
"B000134","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000134.json","James","A.","Barcia",,"1952-02-25","M","D",,,,,"400526",,,"29363",,,"","",,,false,,,,"6",1187,27,3,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:mi/cd:5",,,,"MI","5",false,"2605",2.27,78.42,22.12
"B000169","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000169.json","Bob",,"Barr",,"1948-11-05","M","R",,,,,"400514",,,"29511",,,"","",,,false,,,,"4",1187,37,5,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ga/cd:7",,,,"GA","7",false,"1307",3.12,90.49,10.04
"B000177","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000177.json","Thomas","M.","Barrett",,"1953-12-08","M","D",,,,,"400553",,,"39315",,,"","",,,false,,,,"6",1187,9,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:wi/cd:5",,,,"WI","5",false,"5505",0.76,88.82,11.71
"B000179","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000179.json","Bill",,"Barrett",,"1929-02-09","M","R",,,,,"400568",,,"15805",,,"","",,,false,,,,"8",1187,20,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ne/cd:3",,,,"NE","3",false,"3103",1.68,93.2,7.33
"B000208","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000208.json","Roscoe","G.","Bartlett",,"1926-06-03","M","R",,,,"RepRoscoeBartlett","400017","27026",,"29356",,"/m/025k82","","",,,false,,,,"6",1187,6,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:md/cd:6",,,,"MD","6",false,"2406",0.51,92.5,8.03
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","L.","Barton",,"1949-09-15","M","R",,"RepJoeBarton","RepJoeBarton","repjoebarton","400018","5248","27082","15085","N00005656","/m/03rspq","","https://joebarton.house.gov",,,false,,,,"14",1187,59,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:6",,,,"TX","6",false,"4806",4.97,91.51,9.04
"B000220","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000220.json","Charles","F.","Bass",,"1952-01-08","M","R",,"RepCharlesBass",,,"400019","37079",,"29538",,"/m/02vypx","","",,,false,,,,"4",1187,10,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:nh/cd:2",,,,"NH","2",false,"3302",0.84,87.95,12.49
"B000229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000229.json","Herbert","H.","Bateman",,"1928-08-07","M","R",,,,,"400569",,,"15002",,,"","",,,false,,,,"16",1187,114,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:va/cd:1",,,,"VA","1",false,"5101",9.6,93.76,6.81
"B000287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000287.json","Xavier",,"Becerra",,"1958-01-26","M","D",,"RepBecerra","XavierBecerra","XavierBecerra","400021","26567",,"29316",,"/m/024trk","","http://becerra.house.gov","https://becerra.house.gov/rss/press-releases.xml",,false,,,,"6",1187,89,5,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ca/cd:30",,,,"CA","30",false,"0630",7.5,89.77,10.61
"B000400","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000400.json","Ken",,"Bentsen",,"1959-06-03","M","D",,,,,"400550",,,"29574",,,"","",,,false,,,,"4",1187,9,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:25",,,,"TX","25",false,"4825",0.76,90.97,9.57
"B000403","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000403.json","Douglas","K.","Bereuter",,"1939-10-06","M","R",,,,,"400023",,,"14605",,,"","",,,false,,,,"20",1187,21,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ne/cd:1",,,,"NE","1",false,"3101",1.77,91.25,9.28
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","L.","Berman",,"1941-04-15","M","D",,"RepHowardBerman",,"RepHowardBerman","400025","1592",,"15004",,,"","",,,false,,,,"16",1187,130,3,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ca/cd:26",,,,"CA","26",false,"0626",10.95,92.48,8.11
"B000420","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000420.json","Marion",,"Berry",,"1942-08-27","M","D",,,,"CongressmanBerry","400026","45115",,"29702",,,"","",,,false,,,,"2",1187,21,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ar/cd:1",,,,"AR","1",false,"0501",1.77,80.37,19.98
"B000461","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000461.json","Brian","P.","Bilbray",,"1951-01-28","M","R",,"BilbrayCA50",,,"400570","36554",,"29508",,,"","",,,false,,,,"4",1187,33,2,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ca/cd:49",,,,"CA","49",false,"0649",2.78,86.19,14.35
"B000463","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000463.json","Michael",,"Bilirakis",,"1930-07-16","M","R",,,,,"400028",,,"15005",,,"","",,,false,,,,"16",1187,26,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:fl/cd:9",,,,"FL","9",false,"1209",2.19,94.5,6.03
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","D.","Bishop","Jr.","1947-02-04","M","D",,"SanfordBishop","sanfordbishop","RepSanfordBishop","400030","26194","26817","29339","N00002674","/m/02554k","","https://bishop.house.gov","https://bishop.house.gov/rss.xml",,false,,,,"6",1187,15,3,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ga/cd:2",,,,"GA","2",false,"1302",1.26,84.68,15.85
"B000518","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000518.json","Rod",,"Blagojevich",,"1956-12-10","M","D",,,,,"400518",,,"29716",,,"","",,,false,,,,"2",1187,37,2,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:il/cd:5",,,,"IL","5",false,"1705",3.12,91.64,8.9
"B000556","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000556.json","Tom",,"Bliley",,"1932-01-28","M","R",,,,,"400571",,,"14802",,,"","",,,false,,,,"18",1187,21,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:va/cd:7",,,,"VA","7",false,"5107",1.77,95.85,4.59
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl",,"Blumenauer",,"1948-08-16","M","D",,"BlumenauerMedia",,"RepBlumenauer","400033","43809","367","29588","N00007727","/m/033tw8","","https://blumenauer.house.gov","https://blumenauer.house.gov/rss.xml",,false,,,,"4",1187,42,3,"2019-11-18 02:30:21 -0500","ocd-division/country:us/state:or/cd:3",,,,"OR","3",false,"4103",3.54,91.59,8.96
"B000575","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000575.json","Roy",,"Blunt",,"1950-01-10","M","R",,"RoyBlunt","SenatorBlunt","SenatorBlunt","400034","45465","418","29735","N00005195","/m/034fn4","","https://www.blunt.senate.gov",,,false,,,,"2",1187,34,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:mo/cd:7",,,,"MO","7",false,"2907",2.86,94.38,6.16
"B000586","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000586.json","Sherwood","L.","Boehlert",,"1936-09-28","M","R",,,,,"400035",,,"15006",,,"","",,,false,,,,"16",1187,9,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ny/cd:23",,,,"NY","23",false,"3623",0.76,80.44,20
"B000589","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000589.json","John","A.","Boehner",,"1949-11-17","M","R",,"SpeakerBoehner","SpeakerJohnBoehner","johnboehner","400036","16740",,"15806",,"/m/039rwf","","http://boehner.house.gov",,,false,,,,"8",1187,21,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:oh/cd:8",,,,"OH","8",false,"3908",1.77,96.2,4.24
"B000617","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000617.json","Henry",,"Bonilla",,"1954-01-02","M","R",,,,,"400037",,,"39302",,,"","",,,false,,,,"6",1187,77,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:23",,,,"TX","23",false,"4823",6.49,91.13,9.24
"B000619","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000619.json","David","E.","Bonior",,"1945-06-06","M","D",,,,,"400527",,,"14407",,,"","",,,false,,,,"22",1187,28,6,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:mi/cd:10",,,,"MI","10",false,"2610",2.36,86.79,13.66
"B000622","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000622.json","Sonny",,"Bono",,"1935-02-16","M","R",,,,,"401587",,,"29507",,,"","",,,false,,,,"4",1088,47,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ca/cd:44",,,,"CA","44",false,"0644",4.32,94.08,6.41
"B001228","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001228.json","Mary",,"Bono Mack",,"1961-10-24","F","R",,"Rep_BonoMack",,,"400039",,,"29775",,"/m/024xmf","","",,,false,,,,"2",0,0,0,"2016-06-14 16:26:05 -0400","ocd-division/country:us/state:ca/cd:44",,,,"CA","44",false,"0644",0,0,
