"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000374","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000374.json","Ralph",,"Abraham",,"1954-09-16","M","R","","RepAbraham","CongressmanRalphAbraham",,"412630","76236","155414","21522","N00036633","/m/012dwd7_","H4LA05221","https://abraham.house.gov","https://abraham.house.gov/rss.xml",,false,"R+15",0.541,,"6","2020",954,377,0,"2020-12-31 18:30:50 -0500","ocd-division/country:us/state:la/cd:5","417 Cannon House Office Building","202-225-8490",,"LA","5",false,"2205",39.52,94.93,4.9
"A000370","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000370.json","Alma",,"Adams",,"1946-05-27","F","D",,"RepAdams","CongresswomanAdams",,"412607","76386","5935","21545","N00035451","/m/02b45d","H4NC12100","https://adams.house.gov","https://adams.house.gov/rss.xml",,false,"D+18",-0.465,,"8","2020",954,26,0,"2021-03-02 02:35:22 -0500","ocd-division/country:us/state:nc/cd:12","2436 Rayburn House Office Building","202-225-1510",,"NC","12",false,"3712",2.73,99.24,0.65
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt",,"1965-07-22","M","R",,"Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","H6AL04098","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",,false,"R+30",0.369,,"24","2020",954,71,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4","1203 Longworth House Office Building","202-225-4876",,"AL","4",false,"0104",7.44,93.6,6.29
"A000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000371.json","Pete",,"Aguilar",,"1979-06-19","M","D",,"reppeteaguilar","reppeteaguilar",,"412615","79994","70114","21506","N00033997","/m/0jwv0xf","H2CA31125","https://aguilar.house.gov","https://aguilar.house.gov/rss.xml",,false,"D+8",-0.291,,"6","2020",954,9,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ca/cd:31","109 Cannon House Office Building","202-225-3201",,"CA","31",false,"0631",0.94,97.45,2.44
"A000372","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000372.json","Rick",,"Allen",,"1951-11-07","M","R",,"reprickallen","CongressmanRickAllen",,"412625","62545","136062","21516","N00033720","/m/0127y9dk","H2GA12121","https://allen.house.gov",,,false,"R+9",0.679,,"6","2020",954,15,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ga/cd:12","2400 Rayburn House Office Building","202-225-2823",,"GA","12",false,"1312",1.57,92.26,7.63
"A000376","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000376.json","Colin",,"Allred",,"1983-04-15","M","D",,"RepColinAllred",,,"412828",,"177357",,"N00040989","/m/03d066b","H8TX32098","https://allred.house.gov",,,false,"R+5",,,"2","2020",954,29,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:tx/cd:32","328 Cannon House Office Building","202-225-2231",,"TX","32",false,"4832",3.04,97.72,2.17
"A000367","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000367.json","Justin",,"Amash",,"1980-04-18","M","I","","justinamash","repjustinamash","repjustinamash","412438","1033767","105566","21143","N00031938","/m/0c00p_n","","https://amash.house.gov","https://amash.house.gov/rss.xml",,false,"R+6",,,"10","2020",524,0,10,"2020-12-31 18:30:47 -0500","ocd-division/country:us/state:mi/cd:3",,,,"MI","3",false,"2603",0,58.49,41.51
"A000367","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000367.json","Justin",,"Amash",,"1980-04-18","M","R","","justinamash","repjustinamash","repjustinamash","412438","1033767","105566","21143","N00031938","/m/0c00p_n","H0MI03126","https://amash.house.gov","https://amash.house.gov/rss.xml",,false,,0.654,,"10","2020",430,0,5,"2020-12-28 21:04:36 -0500","ocd-division/country:us/state:mi/cd:3","106 Cannon House Office Building","202-225-3831",,"MI","3",false,"2603",0,61.97,37.79
"A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark",,"Amodei",,"1958-06-12","M","R",,"MarkAmodeiNV2","MarkAmodeiNV2","markamodeinv2","412500","62817","12537","21196","N00031177","/m/03bzdkn","H2NV02395","https://amodei.house.gov",,,false,"R+7",0.384,,"10","2020",954,36,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:nv/cd:2","104 Cannon House Office Building","202-225-6155",,"NV","2",false,"3202",3.77,92.63,7.26
"A000377","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000377.json","Kelly",,"Armstrong",,"1976-10-08","M","R",,"RepArmstrongND",,,"412794",,"139338",,"N00042868","/g/11hcszksh3","H8ND00096","https://armstrong.house.gov",,,false,"R+16",,,"2","2020",954,33,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:nd/cd:1","1004 Longworth House Office Building","202-225-2611",,"ND","At-Large",true,"3800",3.46,93.31,6.58
"A000375","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000375.json","Jodey",,"Arrington",,"1972-03-09","M","R",,"RepArrington","JodeyArrington",,"412726","1016482","155685","21700","N00038285","/m/0g9_f_1","H6TX19099","https://arrington.house.gov",,,false,"R+27",0.633,,"4","2020",954,22,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:tx/cd:19","1029 Longworth House Office Building","202-225-4005",,"TX","19",false,"4819",2.31,90.9,8.99
"A000378","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000378.json","Cynthia",,"Axne",,"1965-04-20","F","D",,"RepCindyAxne",,,"412772",,"179226",,"N00041104","/g/11fgktcgcb","H8IA03124","https://axne.house.gov",,,false,"R+1",,,"2","2020",954,17,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ia/cd:3","330 Cannon House Office Building","202-225-5476",,"IA","3",false,"1903",1.78,93.9,5.99
"B001291","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001291.json","Brian",,"Babin",,"1948-03-23","M","R",,"RepBrianBabin","RepBrianBabin",,"412655","44883","360","21551","N00005736","/m/010qgj35","H6TX02079","https://babin.house.gov",,,false,"R+26",0.703,,"6","2020",954,45,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:tx/cd:36","2236 Rayburn House Office Building","202-225-1555",,"TX","36",false,"4836",4.72,90.89,9
"B001298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001298.json","Don",,"Bacon",,"1963-08-16","M","R",,"repdonbacon","RepDonBacon",,"412713","103442","166299","21701","N00037049","/m/01311t71","H6NE02125","https://bacon.house.gov",,,false,"R+4",0.396,,"4","2020",954,8,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:ne/cd:2","1024 Longworth House Office Building","202-225-4155",,"NE","2",false,"3102",0.84,88.47,11.42
"B001307","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001307.json","James",,"Baird",,"1945-06-04","M","R",,"RepJimBaird",,,"412777",,"86013",,"N00041954","/g/11gfd5wndr","H8IN04199","https://baird.house.gov",,,false,"R+17",,,"2","2020",954,9,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:in/cd:4","532 Cannon House Office Building","202-225-5037",,"IN","4",false,"1804",0.94,96.15,3.74
"B001306","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001306.json","Troy",,"Balderson",,"1962-01-16","M","R",,"RepBalderson",,,"412747",,"102781",,"N00042194","/m/09ry4tm","H8OH12180","https://balderson.house.gov",,,false,"R+7",,,"4","2020",954,2,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:oh/cd:12","1221 Longworth House Office Building","202-225-5355",,"OH","12",false,"3912",0.21,96.5,3.39
"B001299","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001299.json","Jim",,"Banks",,"1979-07-16","M","R",,"RepJimBanks","RepJimBanks",,"412702","89806","116801","21702","N00037185","/m/0j621nj","H6IN03229","https://banks.house.gov",,,false,"R+18",0.637,,"4","2020",954,6,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:in/cd:3","1713 Longworth House Office Building","202-225-4436",,"IN","3",false,"1803",0.63,93.29,6.6
"B001282","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001282.json","Andy",,"Barr",,"1973-07-24","M","R",,"RepAndyBarr","RepAndyBarr","RepAndyBarr","412541","61848","117290","21333","N00031233","/m/0ddc6r6","H0KY06104","https://barr.house.gov",,,false,"R+9",0.491,,"8","2020",954,22,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ky/cd:6","2430 Rayburn House Office Building","202-225-4706",,"KY","6",false,"2106",2.31,95.23,4.66
"B001300","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001300.json","Nanette",,"Barragán",,"1976-09-15","F","D",,"RepBarragan","CongresswomanBarragan",,"412687","104730","166270","21703","N00037019","/g/11bx55ybbz","H6CA44103","https://barragan.house.gov","https://barragan.house.gov/feed/",,false,"D+35",-0.514,,"4","2020",954,18,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ca/cd:44","1030 Longworth House Office Building","202-225-8220",,"CA","44",false,"0644",1.89,98.29,1.61
"B001270","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001270.json","Karen",,"Bass",,"1953-10-03","F","D",,"RepKarenBass","RepKarenBass","RepKarenBass","412404","62502","28963","21110","N00031877","/m/027g9m6","H0CA33117","https://bass.house.gov","https://bass.house.gov/rss.xml",,false,"D+37",-0.585,,"10","2020",954,52,1,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ca/cd:37","2059 Rayburn House Office Building","202-225-7084",,"CA","37",false,"0637",5.45,98.22,1.67
"B001281","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001281.json","Joyce",,"Beatty",,"1950-03-12","F","D",,"RepBeatty","RepJoyceBeatty",,"412565","67294","2427","21352","N00033904","/m/03lcwb","H2OH03125","https://beatty.house.gov","https://beatty.house.gov/rss.xml",,false,"D+19",-0.43,,"8","2020",954,44,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:oh/cd:3","2303 Rayburn House Office Building","202-225-4324",,"OH","3",false,"3903",4.61,99.23,0.66
