"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000031","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000031.json","Brockman",,"Adams",,"1927-01-13",,"D",,,,,"400692",,,"10700",,,"","",,,false,,,,"5",550,3,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wa",,,,"WA","3","","S180",0.55,91.96,8.04
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","K.","Akaka",,"1924-09-11","M","D",,"SenatorAkaka",,"senatorakaka","300001","8704",,"14400",,"/m/01rbrq","","",,,false,,,,"3",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:hi",,,,"HI","1","","S213",0.73,90.82,9.18
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max",,"Baucus",,"1941-12-11","M","D",,,,"SenatorBaucus","300005","1727",,"14203",,"/m/01rcm2","","http://www.baucus.senate.gov",,,false,,,,"13",550,3,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mt",,,,"MT","2","","S127",0.55,88.04,11.96
"B000401","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000401.json","Lloyd","Millard","Bentsen",,"1921-02-11",,"D",,,,,"401391",,,"660",,,"","",,,false,,,,"21",550,30,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tx",,,,"TX","1","","S009",5.45,82.91,17.09
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","R.","Biden","Jr.","1942-11-20","M","D",,,,,"300008","34",,"14101",,,"","",,,false,,,,"19",550,21,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:de",,,,"DE","2","","S010",3.82,89.96,10.04
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff",,"Bingaman",,"1943-10-03","M","D",,"jeffbingaman",,"SenJeffBingaman","300009","590",,"15101",,"/m/01xck2","","",,,false,,,,"9",550,23,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nm",,,,"NM","1","","S167",4.18,83.88,16.12
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","S.","Bond",,"1939-03-06","M","R",,,,"CSBondMO","300010","2360",,"15500",,"/m/01_6h2","","",,,false,,,,"5",550,34,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mo",,,,"MO","3","","S200",6.18,86.86,13.14
"B000639","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000639.json","David","Lyle","Boren",,"1941-04-21","M","D",,,,,"401604",,,"14700",,,"","",,,false,,,,"13",550,31,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ok",,,,"OK","2","","S128",5.64,78.04,21.96
"B001225","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001225.json","William","Warren","Bradley",,"1943-07-28","M","D",,,,,"401709",,,"14702",,,"","",,,false,,,,"13",550,39,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nj",,,,"NJ","2","","S132",7.09,85.43,14.57
"B000780","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000780.json","John","B.","Breaux",,"1944-03-01","M","D",,,,,"300012",,,"13056",,,"","",,,false,,,,"5",550,20,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:la",,,,"LA","3","","S179",3.64,79.27,20.73
"B000919","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000919.json","Hank",,"Brown",,"1940-02-12","M","R",,,,,"401874",,,"14803",,,"","",,,false,,,,"1",550,9,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:co",,,,"CO","2","","S214",1.64,83.15,16.85
"B000993","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000993.json","Richard","H.","Bryan",,"1937-07-16","M","D",,,,,"400557",,,"15701",,,"","",,,false,,,,"3",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nv",,,,"NV","1","","S206",0.18,84.54,15.46
"B001057","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001057.json","Dale",,"Bumpers",,"1925-08-12","M","D",,,,,"402004",,,"14300",,,"","",,,false,,,,"17",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ar",,,,"AR","3","","S014",2,84.63,15.37
"B001076","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001076.json","Jocelyn","Birch","Burdick",,"1922-02-06","F","D",,,,,"402022",,,"15904",,,"","",,,false,,,,"1",63,5,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nd",,,,"ND","1","","S220",7.94,87.72,12.28
"B001077","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001077.json","Quentin","Northrup","Burdick",,"1908-06-19",,"D",,,,,"402023",,,"1252",,,"","",,,false,,,,"31",469,45,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nd",,,,"ND","1","","S015",9.59,89.23,10.77
"B001126","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001126.json","Conrad",,"Burns",,"1935-01-25","M","R",,,,,"300015",,,"15702",,,"","",,,false,,,,"3",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mt",,,,"MT","1","","S211",0.18,90.94,9.06
"B001210","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001210.json","Robert","C.","Byrd",,"1917-11-20","M","D",,,,,"300016",,,"1366",,"/m/06bss","","",,,false,,,,"33",550,0,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wv",,,,"WV","1","","S017",0,81.23,18.77
"C000269","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000269.json","John","H.","Chafee",,"1922-10-22","M","R",,,,,"402412",,,"14500",,,"","",,,false,,,,"15",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ri",,,,"RI","1","","S116",2,71,29
"C000542","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000542.json","Daniel",,"Coats",,"1943-05-16","M","R",,"SenDanCoats","180671148633644","SenatorCoats","402675","6080",,"14806",,"/m/0jl26","","http://www.coats.senate.gov",,,false,,,,"3",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:in",,,,"IN","3","","S212",0.73,87.73,12.27
"C000567","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000567.json","Thad",,"Cochran",,"1937-12-07","M","R",,"SenThadCochran",,"sencochran","300023","1200","53312","14009","N00003328","/m/01fmcd","","https://www.cochran.senate.gov",,,false,,,,"13",550,8,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ms",,,,"MS","2","","S136",1.45,92.13,7.87
"C000598","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000598.json","William","Sebastian","Cohen",,"1940-08-28","M","R",,,,,"402727",,,"14010",,,"","",,,false,,,,"13",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:me",,,,"ME","2","","S137",0.73,73.61,26.39
"C000705","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000705.json","Kent",,"Conrad",,"1948-03-12","M","D",,,,"SenatorConrad","300026","2517",,"15501",,"/m/021fx2","","",,,false,,,,"5",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nd",,,,"ND","3","","S201",1.27,77.21,22.79
"C000858","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000858.json","Larry","E.","Craig",,"1945-07-20","M","R",,,,,"300029",,,"14809",,,"","",,,false,,,,"1",550,6,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:id",,,,"ID","2","","S215",1.09,85.47,14.53
"C000877","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000877.json","Alan",,"Cranston",,"1914-06-19",,"D",,,,,"402990",,,"12103",,,"","",,,false,,,,"23",550,73,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ca",,,,"CA","3","","S023",13.27,88.03,11.97
"D000018","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000018.json","Alfonse","M.","D'Amato",,"1937-08-01","M","R",,,,,"403142",,,"14900",,,"","",,,false,,,,"11",550,13,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ny",,,,"NY","3","","S147",2.36,79.4,20.6
"D000030","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000030.json","John","Claggett","Danforth",,"1936-09-05","M","R",,,,,"403171","103",,"14501",,,"","",,,false,,,,"15",550,24,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mo",,,,"MO","1","","S108",4.36,83.08,16.92
"D000064","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000064.json","Thomas","A.","Daschle",,"1947-12-09","M","D",,,,,"300031",,,"14617",,,"","",,,false,,,,"5",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:sd",,,,"SD","3","","S185",0.36,88.99,11.01
"D000185","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000185.json","Dennis","Webster","DeConcini",,"1937-05-08","M","D",,,,,"403346",,,"14502",,,"","",,,false,,,,"15",550,18,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:az",,,,"AZ","1","","S102",3.27,79.62,20.38
"D000366","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000366.json","Alan","John","Dixon",,"1927-07-07",,"D",,,,,"403483",,,"14902",,,"","",,,false,,,,"11",550,48,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:il",,,,"IL","3","","S149",8.73,80.08,19.92
"D000388","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000388.json","Christopher","J.","Dodd",,"1944-05-27","M","D",,"SenChrisDodd",,"SenChrisDodd","300034",,,"14213",,"/m/01xcly","","",,,false,,,,"11",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ct",,,,"CT","3","","S150",0.36,87.31,12.69
"D000401","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000401.json","Robert","Joseph","Dole",,"1923-07-22","M","R",,,,,"403515",,,"10513",,,"","",,,false,,,,"23",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ks",,,,"KS","3","","S026",0.18,90.94,9.06
"D000407","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000407.json","Pete","V.","Domenici",,"1932-05-07","M","R",,,,,"300036",,,"14103",,,"","",,,false,,,,"19",550,9,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nm",,,,"NM","2","","S027",1.64,91.56,8.44
"D000566","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000566.json","David","Ferdinand","Durenberger",,"1934-08-19","M","R",,,,,"403669",,,"14703",,,"","",,,false,,,,"13",550,16,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mn",,,,"MN","1","","S133",2.91,73.62,26.38
"E000284","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/E000284.json","J. James",,"Exon",,"1921-08-09","M","D",,,,,"403962",,,"14704",,,"","",,,false,,,,"13",550,5,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ne",,,,"NE","2","","S129",0.91,81.09,18.91
"F000062","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/F000062.json","Dianne",,"Feinstein",,"1933-06-22","F","D",,"SenFeinstein","senatorfeinstein","SenatorFeinstein","300043","13061","53273","49300","N00007364","/m/01gqws","","https://www.feinstein.senate.gov","https://www.feinstein.senate.gov/public/?a=rss.feed",,false,,,,"1",0,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ca",,,,"CA","1","","S221",0,0,0
"F000268","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000268.json","Wendell","H.","Ford",,"1924-09-08","M","D",,,,,"404219",,,"14302",,,"","",,,false,,,,"18",550,3,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ky",,,,"KY","3","","S033",0.55,80.75,19.25
"F000329","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000329.json","Wyche",,"Fowler",,"1940-10-06",,"D",,,,,"404277",,,"14467",,,"","",,,false,,,,"5",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ga",,,,"GA","3","","S183",2.55,83.97,16.03
"G000072","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000072.json","Edwin","Jacob","Garn",,"1932-10-12","M","R",,,,,"404444",,,"14303",,,"","",,,false,,,,"17",550,44,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ut",,,,"UT","3","","S034",8,88.62,11.38
"G000236","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000236.json","John","H.","Glenn","Jr.","1921-07-18","M","D",,,,,"404598",,,"14304",,,"","",,,false,,,,"17",550,12,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:oh",,,,"OH","3","","S035",2.18,86.88,13.12
"G000321","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000321.json","Albert","Arnold","Gore",,"1948-03-31","M","D",,,,,"404679",,,"14423",,,"","",,,false,,,,"7",550,119,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tn",,,,"TN","2","","S170",21.64,89.39,10.61
"G000333","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/G000333.json","Slade",,"Gorton",,"1928-01-08","M","R",,,,,"400559",,,"14905",,,"","",,,false,,,,"9",550,5,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wa",,,,"WA","1","","S152",0.91,86.78,13.22
"G000352","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000352.json","Bob",,"Graham",,"1936-11-09","M","D",,,,,"300046",,,"15502",,,"","",,,false,,,,"5",550,6,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:fl",,,,"FL","3","","S199",1.09,82.52,17.48
"G000365","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000365.json","Phil",,"Gramm",,"1942-07-08","M","R",,,,,"300159",,,"14628",,,"","",,,false,,,,"7",550,25,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tx",,,,"TX","2","","S171",4.55,88.82,11.18
