"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000360","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000360.json","Lamar",,"Alexander",,"1940-07-03","M","R",,"SenAlexander","senatorlamaralexander","lamaralexander","300002","5","15691","40304","N00009888","/m/01rbs3","S2TN00058","https://www.alexander.senate.gov/public","https://www.alexander.senate.gov/public/?a=RSS.Feed","http://www.alexander.senate.gov/public/index.cfm?p=Email",false,,0.324,,"17","2020",717,133,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:tn","455 Dirksen Senate Office Building","202-224-4944","202-228-3398","TN","2","senior","S289",18.55,96.55,3.45
"B001230","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001230.json","Tammy",,"Baldwin",,"1962-02-11","F","D",,"SenatorBaldwin","senatortammybaldwin","witammybaldwin","400013","57884","3470","29940","N00004367","/m/024v02","H8WI00018","https://www.baldwin.senate.gov","https://www.baldwin.senate.gov/rss/feeds/?type=all","https://www.baldwin.senate.gov/feedback",false,,-0.493,,"7","2024",717,2,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:wi","709 Hart Senate Office Building","202-224-5653",,"WI","1","junior","S354",0.28,94.65,5.35
"B001261","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001261.json","John",,"Barrasso",,"1952-07-21","M","R","Senate Republican Conference Chair","SenJohnBarrasso","johnbarrasso","barrassowyo","412251","1024777","52662","40707","N00006236","/m/02rsm32","S6WY00068","https://www.barrasso.senate.gov","https://www.barrasso.senate.gov/public/?a=rss.feed","https://www.barrasso.senate.gov/public/index.cfm/contact-form",false,,0.541,,"13","2024",717,0,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:wy","307 Dirksen Senate Office Building","202-224-6441",,"WY","1","junior","S317",0,96.91,3.09
"B001267","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001267.json","Michael",,"Bennet",,"1964-11-28","M","D",,"SenBennetCo","senbennetco","SenatorBennet","412330","1031622","110942","40910","N00030608","/m/05b60qf","S0CO00211","https://www.bennet.senate.gov/public",,"https://www.bennet.senate.gov/public/index.cfm/contact",false,,-0.227,,"11","2022",717,129,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:co","261 Russell Senate Office Building","202-224-5852","202-228-5097","CO","3","senior","S330",17.99,94.91,5.09
"B001243","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001243.json","Marsha",,"Blackburn",,"1952-06-06","F","R",,"MarshaBlackburn","marshablackburn","RepMarshaBlackburn","400032","31226","25186","20351","N00003105","/m/01fnkt","H2TN06030","https://www.blackburn.senate.gov",,"https://www.blackburn.senate.gov/contact_marsha",false,,0.619,,"1","2024",717,12,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:tn","357 Dirksen Senate Office Building","202-224-3344",,"TN","1","junior","S396",1.67,94.01,5.99
"B001277","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001277.json","Richard",,"Blumenthal",,"1946-02-13","M","D",,"SenBlumenthal","SenBlumenthal","SenatorBlumenthal","412490","21799","1568","41101","N00031685","/m/03tg8m","S0CT00177","https://www.blumenthal.senate.gov","https://www.blumenthal.senate.gov/rss/feeds/?type=press","https://www.blumenthal.senate.gov/contact/",false,,-0.438,,"9","2022",717,7,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:ct","706 Hart Senate Office Building","202-224-2823","202-224-9673","CT","3","senior","S341",0.98,88.37,11.63
"B000575","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000575.json","Roy",,"Blunt",,"1950-01-10","M","R","Senate Republican Policy Committee Chair","RoyBlunt","SenatorBlunt","SenatorBlunt","400034","45465","418","29735","N00005195","/m/034fn4","H6MO07128","https://www.blunt.senate.gov",,"https://www.blunt.senate.gov/public/index.cfm/contact-roy",false,,0.426,,"9","2022",717,15,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:mo","260 Russell Senate Office Building","202-224-5721","202-224-8149","MO","3","senior","S342",2.09,98.28,1.72
"B001288","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001288.json","Cory",,"Booker",,"1969-04-27","M","D",,"SenBooker",,"SenCoryBooker","412598","84679","76151","41308","N00035267","/m/06p430","S4NJ00185","https://www.booker.senate.gov",,"https://www.booker.senate.gov/?p=contact",false,,-0.592,,"7","2020",717,290,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:nj","717 Hart Senate Office Building","202-224-3224","202-224-8378","NJ","2","junior","S370",40.45,83.37,16.63
"B001236","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001236.json","John",,"Boozman",,"1950-12-10","M","R",,"JohnBoozman","JohnBoozman","BoozmanPressOffice","400040","92069","27958","20101","N00013873","/m/024s3v","H2AR03176","https://www.boozman.senate.gov/public","https://www.boozman.senate.gov/public/?a=RSS.Feed","https://www.boozman.senate.gov/public/index.cfm/contact",false,,0.4,,"9","2022",717,0,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:ar","141 Hart Senate Office Building","202-224-4843","202-228-1371","AR","3","senior","S343",0,98.46,1.54
"B001310","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001310.json","Mike",,"Braun",,"1954-03-24","M","R",,"SenatorBraun",,,"412839",,"148564",,"N00041731","/g/11f2ckdwty","S8IN00171","https://www.braun.senate.gov",,"http://www.braun.senate.gov/contact-mike",false,,,,"1","2024",717,6,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:in","374 Russell Senate Office Building","202-224-4814",,"IN","1","junior","S397",0.84,93.21,6.79
"B000944","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000944.json","Sherrod",,"Brown",,"1952-11-09","M","D",,"SenSherrodBrown","SenatorSherrodBrown","SherrodBrownOhio","400050","5051","27018","29389","N00003535","/m/034s80","H2OH13033","https://www.brown.senate.gov",,"http://www.brown.senate.gov/contact/",false,,-0.428,,"13","2024",717,12,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:oh","503 Hart Senate Office Building","202-224-2315",,"OH","1","senior","S307",1.67,91.96,8.04
"B001135","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001135.json","Richard","M.","Burr",,"1955-11-30","M","R",,"SenatorBurr","SenatorRichardBurr","SenatorRichardBurr","400054","31054","21787","29548","N00002221","/m/03g_s9","S4NC00089","https://www.burr.senate.gov",,"https://www.burr.senate.gov/contact/email",false,,0.45,,"15","2022",717,88,0,"2020-12-30 19:01:19 -0500","ocd-division/country:us/state:nc","217 Russell Senate Office Building","202-224-3154","202-228-2981","NC","3","senior","S300",12.27,98.4,1.6
"C000127","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000127.json","Maria",,"Cantwell",,"1958-10-13","F","D",,"SenatorCantwell","senatorcantwell","SenatorCantwell","300018","26137","27122","39310","N00007836","/m/01x68t","S8WA00194","https://www.cantwell.senate.gov",,"http://www.cantwell.senate.gov/public/index.cfm/email-maria",false,,-0.304,,"19","2024",717,8,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:wa","511 Hart Senate Office Building","202-224-3441",,"WA","1","junior","S275",1.12,90.58,9.42
"C001047","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001047.json","Shelley","Moore","Capito",,"1953-11-26","F","R",,"SenCapito","senshelley",,"400061","83737","11701","20146","N00009771","/m/024pwq","H0WV02138","https://www.capito.senate.gov",,"https://www.capito.senate.gov/contact/contact-shelley",false,,0.263,,"5","2020",717,39,0,"2020-12-30 19:01:19 -0500","ocd-division/country:us/state:wv","172 Russell Senate Office Building","202-224-6472","202-225-7856","WV","2","junior","S372",5.44,98.52,1.48
"C000141","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000141.json","Benjamin","L.","Cardin",,"1943-10-05","M","D",,"SenatorCardin","senatorbencardin","senatorcardin","400064","4004","26888","15408","N00001955","/m/025k3k","H6MD03177","https://www.cardin.senate.gov",,"http://www.cardin.senate.gov/contact/",false,,-0.32,,"13","2024",717,15,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:md","509 Hart Senate Office Building","202-224-4524",,"MD","1","senior","S308",2.09,95.15,4.85
"C000174","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000174.json","Thomas","R.","Carper",,"1947-01-23","M","D",,"SenatorCarper","tomcarper","senatorcarper","300019","663","22421","15015","N00012508","/m/01xw7t","S8DE00079","https://www.carper.senate.gov/public","https://www.carper.senate.gov/public/?a=RSS.Feed","http://www.carper.senate.gov/public/index.cfm/email-senator-carper",false,,-0.176,,"19","2024",717,4,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:de","513 Hart Senate Office Building","202-224-2441",,"DE","1","senior","S277",0.56,90.13,9.87
"C001070","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001070.json","Bob",,"Casey",,"1960-04-13","M","D",,"SenBobCasey","SenatorBobCasey","SenatorBobCasey","412246","47036","2541","40703","N00027503","/m/047ymw","S6PA00217","https://www.casey.senate.gov","https://www.casey.senate.gov/rss/feeds/?all","https://www.casey.senate.gov/contact/",false,,-0.315,,"13","2024",717,0,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:pa","393 Russell Senate Office Building","202-224-6324",,"PA","1","senior","S309",0,95.38,4.62
"C001075","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001075.json","Bill",,"Cassidy",,"1957-09-28","M","R",,,,"SenatorBillCassidy","412269","1030546","69494","20919","N00030245","/m/0286t7r","H8LA00017","https://www.cassidy.senate.gov",,"https://www.cassidy.senate.gov/contact",false,,0.456,,"5","2020",717,46,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:la","520 Hart Senate Office Building","202-224-5824","202-225-7313","LA","2","senior","S373",6.42,97,3
"C001035","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001035.json","Susan",,"Collins",,"1952-12-07","F","R",,"SenatorCollins","susancollins","SenatorSusanCollins","300025","45738","379","49703","N00000491","/m/020y8m","S6ME00159","https://www.collins.senate.gov","https://www.collins.senate.gov/?q=rss.xml","http://www.collins.senate.gov/contact",false,,0.114,,"23","2020",717,0,0,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:me","413 Dirksen Senate Office Building","202-224-2523","202-224-2693","ME","2","senior","S252",0,88.62,11.38
"C001088","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001088.json","Christopher","A.","Coons",,"1963-09-09","M","D",,"ChrisCoons","senatorchriscoons","senatorchriscoons","412390","9269028","122834","40916","N00031820","/m/082d3d","S0DE00092","https://www.coons.senate.gov",,"https://www.coons.senate.gov/contact",false,,-0.229,,"11","2020",717,25,1,"2020-12-30 19:01:18 -0500","ocd-division/country:us/state:de","218 Russell Senate Office Building","202-224-5042","202-228-3075","DE","2","junior","S337",3.49,94.47,5.53
