"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id"
"A000062","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000062.json","George","David","Aiken",,"1892-08-20","M","R",,,,,"400722",,,"52",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:vt",,,,"VT","3","",""
"B000095","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000095.json","Raymond","Earl","Baldwin",,"1893-08-31","M","R",,,,,"401097",,,"390",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:32 -0400","ocd-division/country:us/state:ct",,,,"CT","1","",""
"B000099","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000099.json","Joseph","Hurst","Ball",,"1905-11-03","M","R",,,,,"401101",,,"394",,,"","",,,false,,,,"7",,,,"2013-04-12 20:11:29 -0400","ocd-division/country:us/state:mn",,,,"MN","2","",""
"B000145","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000145.json","Alben","William","Barkley",,"1877-11-24",,"D",,,,,"401146",,,"437",,,"","",,,false,,,,"20",,,,"2013-04-12 20:11:37 -0400","ocd-division/country:us/state:ky",,,,"KY","3","",""
"B000460","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000460.json","Theodore","Gilmore","Bilbo",,"","M","D",,,,,"401445",,,"710",,,"","",,,false,,,,"13",,,,"2013-04-12 20:11:27 -0400","ocd-division/country:us/state:ms",,,,"MS","1","",""
"B000816","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000816.json","Ralph","Owen","Brewster",,"1888-02-22","M","R",,,,,"401773",,,"1021",,,"","",,,false,,,,"7",,,,"2013-04-12 20:11:32 -0400","ocd-division/country:us/state:me",,,,"ME","1","",""
"B000820","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000820.json","John","William","Bricker",,"","M","R",,,,,"401777",,,"1024",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:36 -0400","ocd-division/country:us/state:oh",,,,"OH","1","",""
"B000823","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000823.json","Henry","Styles","Bridges",,"1898-09-09","M","R",,,,,"401780",,,"1027",,,"","",,,false,,,,"11",,,,"2013-04-12 20:11:37 -0400","ocd-division/country:us/state:nh",,,,"NH","2","",""
"B000874","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000874.json","Charles","Wayland","Brooks",,"1897-03-08","M","R",,,,,"401831",,,"1071",,,"","",,,false,,,,"7",,,,"2013-04-12 20:11:29 -0400","ocd-division/country:us/state:il",,,,"IL","2","",""
"B000894","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000894.json","Joseph","Melville","Broughton",,"1888-11-17","M","D",,,,,"401851",,,"1090",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:33 -0400","ocd-division/country:us/state:nc",,,,"NC","2","",""
"B001013","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001013.json","Clayton","Douglass","Buck",,"1890-03-21",,"R",,,,,"401963",,,"1194",,,"","",,,false,,,,"5",,,,"2013-04-12 20:11:29 -0400","ocd-division/country:us/state:de",,,,"DE","2","",""
"B001169","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001169.json","Vera","Cahalan","Bushfield",,"1889-08-09","F","R",,,,,"402111",,,"1331",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:33 -0400","ocd-division/country:us/state:sd",,,,"SD","2","",""
"B001168","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001168.json","Harlan","John","Bushfield",,"1882-08-06","M","R",,,,,"402110",,,"1330",,,"","",,,false,,,,"5",,,,"2013-04-12 20:11:29 -0400","ocd-division/country:us/state:sd",,,,"SD","2","",""
"B001177","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001177.json","Hugh","Alfred","Butler",,"","M","R",,,,,"402119",,,"1338",,,"","",,,false,,,,"7",,,,"2013-04-12 20:11:36 -0400","ocd-division/country:us/state:ne",,,,"NE","1","",""
"B001208","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001208.json","Harry","Flood","Byrd",,"1887-06-10","M","D",,,,,"402148",,,"1365",,,"","",,,false,,,,"14",,,,"2013-04-12 20:11:39 -0400","ocd-division/country:us/state:va",,,,"VA","1","",""
"C000021","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000021.json","Harry","Pulliam","Cain",,"1906-01-10","M","R",,,,,"402182",,,"1395",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:32 -0400","ocd-division/country:us/state:wa",,,,"WA","1","",""
"C000128","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000128.json","Homer","Earl","Capehart",,"1897-06-06","M","R",,,,,"402278",,,"1489",,,"","",,,false,,,,"3",,,,"2013-04-12 20:11:38 -0400","ocd-division/country:us/state:in",,,,"IN","3","",""
"C000133","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000133.json","Arthur",,"Capper",,"1865-07-14","M","R",,,,,"402283",,,"1494",,,"","",,,false,,,,"28",,,,"2013-04-12 20:11:29 -0400","ocd-division/country:us/state:ks",,,,"KS","2","",""
"C000338","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000338.json","Dennis",,"Chavez",,"1888-04-08",,"D",,,,,"402478",,,"1678",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:39 -0400","ocd-division/country:us/state:nm",,,,"NM","1","",""
"C000684","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000684.json","Thomas","Terry","Connally",,"1877-08-19","M","D",,,,,"402810",,,"1986",,,"","",,,false,,,,"18",,,,"2013-04-12 20:11:32 -0400","ocd-division/country:us/state:tx",,,,"TX","1","",""
"C000758","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000758.json","John","Sherman","Cooper",,"1901-08-23","M","R",,,,,"402878",,,"2052",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:ky",,,,"KY","2","",""
"C000774","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000774.json","Guy",,"Cordon",,"1890-04-24","M","R",,,,,"402894",,,"2066",,,"","",,,false,,,,"3",,,,"2013-04-12 20:11:34 -0400","ocd-division/country:us/state:or",,,,"OR","2","",""
