district,circuit,city
District of Columbia,District of Columbia Circuit,Washington
District of Maine,1st Circuit,Boston
District of Massachusetts,1st Circuit,Boston
District of New Hampshire,1st Circuit,Boston
District of Puerto Rico,1st Circuit,Boston
District of Rhode Island,1st Circuit,Boston
District of Connecticut,2nd Circuit,New York City
Eastern District of New York,2nd Circuit,New York City
Northern District of New York,2nd Circuit,New York City
Southern District of New York,2nd Circuit,New York City
Western District of New York,2nd Circuit,New York City
District of Vermont,2nd Circuit,New York City
District of Delaware,3rd Circuit,Philadelphia
District of New Jersey,3rd Circuit,Philadelphia
Eastern District of Pennsylvania,3rd Circuit,Philadelphia
Middle District of Pennsylvania,3rd Circuit,Philadelphia
Western District of Pennsylvania,3rd Circuit,Philadelphia
District of the Virgin Islands,3rd Circuit,Philadelphia
District of Maryland,4th Circuit,Richmond
Eastern District of North Carolina,4th Circuit,Richmond
Middle District of North Carolina,4th Circuit,Richmond
Western District of North Carolina,4th Circuit,Richmond
District of South Carolina,4th Circuit,Richmond
Eastern District of Virginia,4th Circuit,Richmond
Western District of Virginia,4th Circuit,Richmond
Northern District of West Virginia,4th Circuit,Richmond
Southern District of West Virginia,4th Circuit,Richmond
Eastern District of Louisiana,5th Circuit,New Orleans
Middle District of Louisiana,5th Circuit,New Orleans
Western District of Louisiana,5th Circuit,New Orleans
Northern District of Mississippi,5th Circuit,New Orleans
Southern District of Mississippi,5th Circuit,New Orleans
Eastern District of Texas,5th Circuit,New Orleans
Northern District of Texas,5th Circuit,New Orleans
Southern District of Texas,5th Circuit,New Orleans
Western District of Texas,5th Circuit,New Orleans
Eastern District of Kentucky,6th Circuit,Cincinnati
Western District of Kentucky,6th Circuit,Cincinnati
Eastern District of Michigan,6th Circuit,Cincinnati
Western District of Michigan,6th Circuit,Cincinnati
Northern District of Ohio,6th Circuit,Cincinnati
Southern District of Ohio,6th Circuit,Cincinnati
Eastern District of Tennessee,6th Circuit,Cincinnati
Middle District of Tennessee,6th Circuit,Cincinnati
Western District of Tennessee,6th Circuit,Cincinnati
Central District of Illinois,7th Circuit,Chicago
Northern District of Illinois,7th Circuit,Chicago
Southern District of Illinois,7th Circuit,Chicago
Northern District of Indiana,7th Circuit,Chicago
Southern District of Indiana,7th Circuit,Chicago
Eastern District of Wisconsin,7th Circuit,Chicago
Western District of Wisconsin,7th Circuit,Chicago
Eastern District of Arkansas,8th Circuit,St. Louis
Western District of Arkansas,8th Circuit,St. Louis
Northern District of Iowa,8th Circuit,St. Louis
Southern District of Iowa,8th Circuit,St. Louis
District of Minnesota,8th Circuit,St. Louis
Eastern District of Missouri,8th Circuit,St. Louis
Western District of Missouri,8th Circuit,St. Louis
District of Nebraska,8th Circuit,St. Louis
District of North Dakota,8th Circuit,St. Louis
District of South Dakota,8th Circuit,St. Louis
District of Alaska,9th Circuit,San Francisco
District of Arizona,9th Circuit,San Francisco
Central District of California,9th Circuit,San Francisco
Eastern District of California,9th Circuit,San Francisco
Northern District of California,9th Circuit,San Francisco
Southern District of California,9th Circuit,San Francisco
District of Guam,9th Circuit,San Francisco
District of Hawaii,9th Circuit,San Francisco
District of Idaho,9th Circuit,San Francisco
District of Montana,9th Circuit,San Francisco
District of Nevada,9th Circuit,San Francisco
District of the Northern Mariana Islands,9th Circuit,San Francisco
District of Oregon,9th Circuit,San Francisco
Eastern District of Washington,9th Circuit,San Francisco
Western District of Washington,9th Circuit,San Francisco
District of Colorado,10th Circuit,Denver
District of Kansas,10th Circuit,Denver
District of New Mexico,10th Circuit,Denver
Eastern District of Oklahoma,10th Circuit,Denver
Northern District of Oklahoma,10th Circuit,Denver
Western District of Oklahoma,10th Circuit,Denver
District of Utah,10th Circuit,Denver
District of Wyoming,10th Circuit,Denver
Middle District of Alabama,11th Circuit,Atlanta
Northern District of Alabama,11th Circuit,Atlanta
Southern District of Alabama,11th Circuit,Atlanta
Middle District of Florida,11th Circuit,Atlanta
Northern District of Florida,11th Circuit,Atlanta
Southern District of Florida,11th Circuit,Atlanta
Middle District of Georgia,11th Circuit,Atlanta
Northern District of Georgia,11th Circuit,Atlanta
Southern District of Georgia,11th Circuit,Atlanta
Court of Appeals for Veterans Claims,Federal Circuit,Washington
Court of Federal Claims,Federal Circuit,Washington
Court of International Trade,Federal Circuit,Washington
