"city","state","country"
"Cau Dien","Hanoi","Vietnam"
"Cau Giay","Hanoi","Vietnam"
"Chuc Son","Hanoi","Vietnam"
"Dai Nghia","Hanoi","Vietnam"
"Dong Anh","Hanoi","Vietnam"
"Dong Da","Hanoi","Vietnam"
"Ha Dong","Hanoi","Vietnam"
"Hai BaTrung","Hanoi","Vietnam"
"Hanoi","Hanoi","Vietnam"
"Hoan Kiem","Hanoi","Vietnam"
"Kim Bai","Hanoi","Vietnam"
"Lien Quan","Hanoi","Vietnam"
"Quoc Oai","Hanoi","Vietnam"
"Soc Son","Hanoi","Vietnam"
"Tay Ho","Hanoi","Vietnam"
"Thach That","Hanoi","Vietnam"
"Thanh Xuan","Hanoi","Vietnam"
"Van Dien","Hanoi","Vietnam"
"Van Dinh","Hanoi","Vietnam"
"Ho Chi Minh City","Ho Chi Minh City","Vietnam"
